table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_industry,field_extramural_industry_administered_ffrdcs,field_extramural_universities_and_colleges,field_extramural_university_administered_ffrdcs,field_extramural_other_nonprofits,field_extramural_nonprofit_administered_ffrdcs,field_extramural_state_local_governments
3950,r061,California -> National Science Foundation,California,National Science Foundation,,2,749289.7,27779.7,46290.3,0.0,647110.1,0.0,28109.6,0.0,0.0
3950,r062,Colorado,Colorado,,,1,5267919.7,1390348.6,2548226.2,0.0,715603.1,175998.9,93209.8,333306.0,11227.1
3950,r063,Colorado -> Department of Agriculture,Colorado,Department of Agriculture,,2,62031.4,37976.2,107.4,0.0,23609.3,0.0,338.5,0.0,0.0
3950,r064,Colorado -> Department of Commerce,Colorado,Department of Commerce,,2,260698.5,186691.1,638.4,0.0,63434.0,9928.6,0.0,0.0,6.5
3950,r065,"Colorado -> Department of Defense, research",Colorado,"Department of Defense, research",,2,80648.3,10271.8,25054.7,0.0,44735.2,0.0,202.4,384.1,0.0
3950,r066,"Colorado -> Department of Defense, total experimental development<sup>b</sup>",Colorado,"Department of Defense, total experimental development<sup>b</sup>",,2,1965977.5,68478.1,1884624.0,0.0,5213.4,0.0,4500.0,3162.0,0.0
3950,r067,Colorado -> Department of Energy,Colorado,Department of Energy,,2,413474.7,1513.4,41770.6,0.0,36624.3,0.0,4244.2,328593.9,728.2
3950,r068,Colorado -> Department of Health and Human Services,Colorado,Department of Health and Human Services,,2,428240.5,1075.6,34435.2,0.0,337506.5,0.0,48418.9,0.0,6804.3
3950,r069,Colorado -> Department of Homeland Security,Colorado,Department of Homeland Security,,2,15115.2,13276.2,1313.7,0.0,525.3,0.0,0.0,0.0,0.0
3950,r070,Colorado -> Department of the Interior,Colorado,Department of the Interior,,2,64376.9,52349.4,3224.2,0.0,5332.1,320.0,941.6,200.0,2009.6
3950,r071,Colorado -> Department of Transportation,Colorado,Department of Transportation,,2,27117.1,3398.1,20733.6,0.0,1600.1,0.0,0.0,0.0,1385.3
3950,r072,Colorado -> Environmental Protection Agency,Colorado,Environmental Protection Agency,,2,5865.1,928.2,1604.8,0.0,3332.1,0.0,0.0,0.0,0.0
3950,r073,Colorado -> National Aeronautics and Space Administration,Colorado,National Aeronautics and Space Administration,,2,1614311.7,1013039.7,522819.0,0.0,61739.9,13401.2,3311.8,0.0,0.0
3950,r074,Colorado -> National Science Foundation,Colorado,National Science Foundation,,2,330062.9,1350.9,11900.6,0.0,131950.9,152349.2,31252.3,966.0,293.1
3950,r075,Connecticut,Connecticut,,,1,2673235.2,22463.8,1955329.4,0.0,659319.9,0.0,29619.7,0.0,6502.3
3950,r076,Connecticut -> Department of Agriculture,Connecticut,Department of Agriculture,,2,7619.2,1919.8,0.0,0.0,5549.4,0.0,0.0,0.0,150.0
3950,r077,Connecticut -> Department of Commerce,Connecticut,Department of Commerce,,2,18123.8,0.0,0.0,0.0,5220.6,0.0,12903.2,0.0,0.0
3950,r078,"Connecticut -> Department of Defense, research",Connecticut,"Department of Defense, research",,2,43141.8,0.0,24093.0,0.0,14321.7,0.0,4727.2,0.0,0.0
3950,r079,"Connecticut -> Department of Defense, total experimental development<sup>b</sup>",Connecticut,"Department of Defense, total experimental development<sup>b</sup>",,2,1759402.3,3806.3,1754006.4,0.0,1589.6,0.0,0.0,0.0,0.0
3950,r080,Connecticut -> Department of Energy,Connecticut,Department of Energy,,2,51682.6,199.1,39391.8,0.0,12091.8,0.0,0.0,0.0,0.0
3950,r081,Connecticut -> Department of Health and Human Services,Connecticut,Department of Health and Human Services,,2,585714.9,0.0,14944.4,0.0,554782.5,0.0,11922.6,0.0,4065.3
3950,r082,Connecticut -> Department of Homeland Security,Connecticut,Department of Homeland Security,,2,16411.2,10438.4,5600.3,0.0,372.4,0.0,0.0,0.0,0.0
3950,r083,Connecticut -> Department of the Interior,Connecticut,Department of the Interior,,2,2204.6,1053.8,469.2,0.0,571.8,0.0,0.0,0.0,109.8
3950,r084,Connecticut -> Department of Transportation,Connecticut,Department of Transportation,,2,2803.5,0.0,556.8,0.0,69.5,0.0,0.0,0.0,2177.2
3950,r085,Connecticut -> Environmental Protection Agency,Connecticut,Environmental Protection Agency,,2,1687.7,0.0,971.9,0.0,715.8,0.0,0.0,0.0,0.0
3950,r086,Connecticut -> National Aeronautics and Space Administration,Connecticut,National Aeronautics and Space Administration,,2,123117.8,5046.4,113499.4,0.0,4572.0,0.0,0.0,0.0,0.0
3950,r087,Connecticut -> National Science Foundation,Connecticut,National Science Foundation,,2,61326.0,0.0,1796.3,0.0,59462.9,0.0,66.8,0.0,0.0
3950,r088,Delaware,Delaware,,,1,163086.6,4326.4,27032.1,0.0,122222.6,0.0,4639.7,0.0,4865.9
3950,r089,Delaware -> Department of Agriculture,Delaware,Department of Agriculture,,2,8611.4,1628.4,7.2,0.0,6975.8,0.0,0.0,0.0,0.0
3950,r090,Delaware -> Department of Commerce,Delaware,Department of Commerce,,2,16140.2,0.0,19.4,0.0,15947.6,0.0,173.2,0.0,0.0
3950,r091,"Delaware -> Department of Defense, research",Delaware,"Department of Defense, research",,2,19048.8,23.4,2184.5,0.0,16840.9,0.0,0.0,0.0,0.0
3950,r092,"Delaware -> Department of Defense, total experimental development<sup>b</sup>",Delaware,"Department of Defense, total experimental development<sup>b</sup>",,2,6897.8,845.0,5199.8,0.0,853.0,0.0,0.0,0.0,0.0
3950,r093,Delaware -> Department of Energy,Delaware,Department of Energy,,2,18138.0,0.0,8288.8,0.0,9826.9,0.0,0.0,0.0,22.2
3950,r094,Delaware -> Department of Health and Human Services,Delaware,Department of Health and Human Services,,2,50537.6,0.0,6504.5,0.0,40255.9,0.0,3641.1,0.0,136.1
3950,r095,Delaware -> Department of Homeland Security,Delaware,Department of Homeland Security,,2,628.4,0.0,628.4,0.0,0.0,0.0,0.0,0.0,0.0
3950,r096,Delaware -> Department of the Interior,Delaware,Department of the Interior,,2,2208.2,1829.6,0.0,0.0,378.7,0.0,0.0,0.0,0.0
3950,r097,Delaware -> Department of Transportation,Delaware,Department of Transportation,,2,4874.7,0.0,16.7,0.0,150.4,0.0,0.0,0.0,4707.5
3950,r098,Delaware -> National Aeronautics and Space Administration,Delaware,National Aeronautics and Space Administration,,2,6370.1,0.0,3499.8,0.0,2870.3,0.0,0.0,0.0,0.0
3950,r099,Delaware -> National Science Foundation,Delaware,National Science Foundation,,2,29631.5,0.0,683.0,0.0,28123.2,0.0,825.4,0.0,0.0
3950,r100,District of Columbia,District of Columbia,,,1,6228175.8,4531606.0,858408.3,40679.3,286121.8,151531.6,348468.9,3167.6,8192.2
3950,r101,District of Columbia -> Department of Agriculture,District of Columbia,Department of Agriculture,,2,386851.4,358758.8,25936.3,0.0,727.2,0.0,1420.4,0.0,8.8
3950,r102,District of Columbia -> Department of Commerce,District of Columbia,Department of Commerce,,2,26501.8,21928.0,3929.7,0.0,281.6,0.0,362.6,0.0,0.0
3950,r103,"District of Columbia -> Department of Defense, research",District of Columbia,"Department of Defense, research",,2,460249.2,395036.2,20496.6,0.0,19989.0,0.0,22244.5,2482.9,0.0
3950,r104,"District of Columbia -> Department of Defense, total experimental development<sup>b</sup>",District of Columbia,"Department of Defense, total experimental development<sup>b</sup>",,2,3161464.1,2549120.2,458491.2,0.0,12956.8,0.0,140890.7,0.0,5.2
3950,r105,District of Columbia -> Department of Energy,District of Columbia,Department of Energy,,2,1081671.4,892641.0,111000.3,40207.0,35080.3,0.0,2305.7,0.0,437.2
3950,r106,District of Columbia -> Department of Health and Human Services,District of Columbia,Department of Health and Human Services,,2,270857.6,4545.4,26347.5,0.0,174968.7,0.0,59889.9,0.0,5106.1
3950,r107,District of Columbia -> Department of Homeland Security,District of Columbia,Department of Homeland Security,,2,66717.8,28028.2,38022.2,0.0,0.0,0.0,197.4,470.0,0.0
3950,r108,District of Columbia -> Department of the Interior,District of Columbia,Department of the Interior,,2,13568.1,10984.0,8.9,0.0,41.4,0.0,67.8,0.0,2466.0
3950,r109,District of Columbia -> Department of Transportation,District of Columbia,Department of Transportation,,2,181477.4,82293.8,67912.4,0.0,3124.3,0.0,27977.9,0.0,169.0
3950,r110,District of Columbia -> Environmental Protection Agency,District of Columbia,Environmental Protection Agency,,2,101537.5,49349.4,46595.8,472.3,4226.2,679.1,0.0,214.7,0.0
3950,r111,District of Columbia -> National Aeronautics and Space Administration,District of Columbia,National Aeronautics and Space Administration,,2,211947.7,137580.5,55079.0,0.0,9713.9,0.0,9574.3,0.0,0.0
3950,r112,District of Columbia -> National Science Foundation,District of Columbia,National Science Foundation,,2,265331.9,1340.4,4588.6,0.0,25012.6,150852.6,83537.8,0.0,0.0
3950,r113,Florida,Florida,,,1,3892005.0,1141703.6,1657003.3,0.0,924133.0,0.0,159240.5,0.0,9924.6
3950,r114,Florida -> Department of Agriculture,Florida,Department of Agriculture,,2,77566.3,38563.9,2.0,0.0,37857.3,0.0,1035.3,0.0,107.9
3950,r115,Florida -> Department of Commerce,Florida,Department of Commerce,,2,54316.8,33674.6,137.5,0.0,17504.2,0.0,1915.7,0.0,1084.8
3950,r116,"Florida -> Department of Defense, research",Florida,"Department of Defense, research",,2,236892.1,95812.2,69774.9,0.0,61338.9,0.0,9966.1,0.0,0.0
3950,r117,"Florida -> Department of Defense, total experimental development<sup>b</sup>",Florida,"Department of Defense, total experimental development<sup>b</sup>",,2,2138937.7,796427.0,1329846.7,0.0,6114.4,0.0,6549.6,0.0,0.0
3950,r118,Florida -> Department of Energy,Florida,Department of Energy,,2,46373.8,0.0,9973.3,0.0,36337.6,0.0,0.0,0.0,62.9
3950,r119,Florida -> Department of Health and Human Services,Florida,Department of Health and Human Services,,2,685322.7,0.0,27134.2,0.0,519867.9,0.0,137973.7,0.0,346.9
3950,r120,Florida -> Department of Homeland Security,Florida,Department of Homeland Security,,2,12496.9,8289.3,3805.7,0.0,401.8,0.0,0.0,0.0,0.0
