table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3166,r114,All institutions -> U. Iowa,All institutions,U. Iowa,2,113,"['6,596', '']","['5,738', '']","['5,293', '']","['4,659', '']","['5,007', '']","['3,937', '']","['3,835', '']","['3,607', '']"
3166,r115,All institutions -> Howard U.,All institutions,Howard U.,2,114,"['1,999', '']","['2,969', '']","['3,457', '']","['4,558', '']","['1,588', '']","['2,611', '']","['2,994', '']","['3,989', '']"
3166,r116,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,115,"['2,378', '']","['4,018', '']","['4,005', '']","['4,454', '']","['1,038', '']","['1,058', '']","['1,037', '']","['1,316', '']"
3166,r117,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,116,"['2,129', '']","['2,049', '']","['4,285', '']","['4,373', '']","['793', '']","['833', '']","['1,888', '']","['2,004', '']"
3166,r118,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,117,"['4,369', '']","['4,142', '']","['4,888', '']","['4,252', '']","['4,039', '']","['3,791', '']","['4,561', '']","['4,141', '']"
3166,r119,All institutions -> San Diego State U.,All institutions,San Diego State U.,2,118,"['2,206', '']","['2,782', '']","['3,581', '']","['4,203', '']","['1,035', '']","['1,361', '']","['2,481', '']","['2,655', '']"
3166,r120,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,119,"['2,926', '']","['4,191', '']","['4,622', '']","['4,148', '']","['1,248', '']","['1,489', '']","['1,667', '']","['1,635', '']"
3166,r121,"All institutions -> U. Massachusetts, Lowell",All institutions,"U. Massachusetts, Lowell",2,120,"['3,341', '']","['2,671', '']","['3,948', '']","['4,105', '']","['1,519', '']","['771', '']","['422', '']","['469', '']"
3166,r122,"All institutions -> U. Texas, Dallas",All institutions,"U. Texas, Dallas",2,121,"['3,615', '']","['4,784', '']","['3,306', '']","['4,093', '']","['950', '']","['1,156', '']","['1,048', '']","['2,499', '']"
3166,r123,"All institutions -> U. North Texas, Denton",All institutions,"U. North Texas, Denton",2,122,"['3,127', '']","['4,886', '']","['3,314', '']","['4,069', '']","['1,374', '']","['1,734', '']","['1,191', '']","['1,143', '']"
3166,r124,All institutions -> Baylor U.,All institutions,Baylor U.,2,123,"['5,296', '']","['4,741', '']","['4,279', '']","['3,877', '']","['977', '']","['1,320', '']","['921', '']","['785', '']"
