table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1442,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['D', '&nbsp;']","['D', '&nbsp;']","['239', '&nbsp;']","['232', '&nbsp;']","['D', '&nbsp;']","['452', '&nbsp;']","['D', '&nbsp;']","['336', '&nbsp;']","['308', ' ']"
1442,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['6', '&nbsp;']","['13', '&nbsp;']","['17', '&nbsp;']","['38', '&nbsp;']","['21', '&nbsp;']","['23', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['1', ' ']"
1442,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['509', '&nbsp;']","['D', '&nbsp;']","['53', '&nbsp;']","['141', 'i']","['112', 'i']","['7', '&nbsp;']","['D', '&nbsp;']","['25', 'i']","['12', 'i']"
1442,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['490', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1442,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['2', '&nbsp;']","['1', '&nbsp;']","['29', '&nbsp;']","['28', 'i']","['8', 'i']","['D', '&nbsp;']","['13', '&nbsp;']","['13', '&nbsp;']","['7', ' ']"
1442,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['7,657', '&nbsp;']","['7,243', '&nbsp;']","['8,011', '&nbsp;']","['9,644', '&nbsp;']","['9,915', '&nbsp;']","['11,767', '&nbsp;']","['13,736', '&nbsp;']","['12,508', '&nbsp;']","['13,384', ' ']"
1442,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['6,301', '&nbsp;']","['6,332', '&nbsp;']","['6,926', '&nbsp;']","['7,899', '&nbsp;']","['7,880', '&nbsp;']","['9,456', '&nbsp;']","['10,185', '&nbsp;']","['8,842', '&nbsp;']","['8,698', ' ']"
1442,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['27', '&nbsp;']","['47', '&nbsp;']","['55', '&nbsp;']","['29', '&nbsp;']","['2', 'i']","['6', 'i']","['4', 'i']","['9', '&nbsp;']","['4', ' ']"
1442,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['6,274', '&nbsp;']","['6,285', '&nbsp;']","['6,871', '&nbsp;']","['7,870', '&nbsp;']","['7,878', '&nbsp;']","['9,450', '&nbsp;']","['10,181', '&nbsp;']","['8,833', '&nbsp;']","['8,693', ' ']"
1442,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['175', '&nbsp;']","['86', '&nbsp;']","['131', '&nbsp;']","['98', '&nbsp;']","['59', '&nbsp;']","['63', '&nbsp;']","['61', '&nbsp;']","['41', '&nbsp;']","['49', ' ']"
