table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_tenured_number,field_tenured_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se
3690,r050,All fields -> Science -> Psychology -> Hispanic or Latino<sup>a</sup>,All fields,Science,Psychology,Hispanic or Latino<sup>a</sup>,,4,2100,150,900,125,350,75,300,75,600,100
3690,r051,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3690,r052,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,50,25,50,25,,,,,,
3690,r053,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Asian,5,3400,325,1450,250,700,150,350,100,900,175
3690,r054,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,2200,175,900,125,300,100,400,75,550,100
3690,r055,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,White,5,30700,775,14150,625,3800,325,4550,350,8200,525
3690,r056,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,700,100,250,75,150,50,150,75,200,50
3690,r057,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,64150,975,36950,800,9300,425,8300,450,9600,450
3690,r058,All fields -> Science -> Social sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Social sciences,Hispanic or Latino<sup>a</sup>,,4,3750,200,2000,150,750,125,500,75,500,100
3690,r059,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3690,r060,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,300,75,200,75,50,25,S,S,,
3690,r061,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,7550,450,4150,350,1900,225,750,150,750,175
3690,r062,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,4000,250,2100,200,600,100,550,125,750,125
3690,r063,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,White,5,47650,875,28100,750,5750,325,6350,400,7450,425
3690,r064,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,900,125,450,75,250,75,100,50,150,50
3690,r065,All fields -> Engineering,All fields,Engineering,,,,2,45250,925,22400,800,7850,475,6050,425,8950,450
3690,r066,All fields -> Engineering -> Hispanic or Latino<sup>a</sup>,All fields,Engineering,Hispanic or Latino<sup>a</sup>,,,3,1950,175,1050,150,250,75,300,50,350,75
3690,r067,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
3690,r068,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,25,S,S,,,,,,
3690,r069,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Asian,,4,16150,750,7800,625,3150,300,2200,300,3000,275
3690,r070,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1400,150,650,100,200,75,200,75,300,75
3690,r071,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,White,,4,25250,700,12700,550,4100,325,3250,275,5200,350
3690,r072,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,450,75,150,50,100,50,50,50,150,50
3690,r073,All fields -> Health,All fields,Health,,,,2,21250,550,8250,425,4550,300,3550,250,4850,350
3690,r074,All fields -> Health -> Hispanic or Latino<sup>a</sup>,All fields,Health,Hispanic or Latino<sup>a</sup>,,,3,800,100,200,50,300,75,150,50,200,50
3690,r075,All fields -> Health -> Not Hispanic or Latino<sup>b</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
3690,r076,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Health,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,25,,,,,,,,
3690,r077,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Asian,,4,3350,275,1050,175,700,125,700,150,900,150
3690,r078,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1600,125,500,75,450,75,250,75,400,75
3690,r079,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Health,Not Hispanic or Latino<sup>b</sup>,White,,4,15050,475,6350,350,3000,275,2400,225,3300,300
3690,r080,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,300,75,150,50,50,25,50,25,100,50
