table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_and_local_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2740,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['261', '  ']","['227', '  ']","['*', '  ']","['25', '  ']","['*', 'i ']","['0', '  ']","['2', '  ']","['*', 'i ']","['7', '  ']"
2740,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['109', '  ']","['95', '  ']","['1', '  ']","['13', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['0', '  ']"
2740,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,218', '  ']","['2,388', '  ']","['529', 'i ']","['143', '  ']","['74', '  ']","['6', '  ']","['48', '  ']","['26', '  ']","['3', 'i ']"
2740,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['2,608', '  ']","['1,877', '  ']","['526', 'i ']","['134', '  ']","['3', '  ']","['2', '  ']","['38', '  ']","['25', '  ']","['3', 'i ']"
2740,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['555', '  ']","['463', '  ']","['0', '  ']","['6', '  ']","['71', '  ']","['4', '  ']","['9', '  ']","['1', '  ']","['0', '  ']"
2740,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['422', '  ']","['339', '  ']","['0', '  ']","['6', '  ']","['71', '  ']","['4', '  ']","['1', '  ']","['1', '  ']","['0', '  ']"
2740,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['133', '  ']","['125', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['8', '  ']","['0', '  ']","['0', '  ']"
2740,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2740,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['55', '  ']","['47', '  ']","['4', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
2740,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['19', '  ']","['14', '  ']","['*', 'i ']","['5', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0 - 2', 'i ']","['0 - 2', 'i ']"
2740,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,003', '  ']","['839', '  ']","['7', '  ']","['83', '  ']","['1 - 4', '  ']","['*', 'i ']","['23', 'i ']","['42', '  ']","['5 - 8', '  ']"
2740,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['839', '  ']","['732', '  ']","['7', '  ']","['28', '  ']","['2', '  ']","['*', 'i ']","['23', 'i ']","['42', '  ']","['6', '  ']"
2740,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['163', '  ']","['107', 'i ']","['*', 'i ']","['56', '  ']","['0 - 2', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['0 - 2', 'i ']"
2740,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['3,589', '  ']","['3,047', '  ']","['2', '  ']","['305', '  ']","['11', '  ']","['1', '  ']","['24', '  ']","['93', '  ']","['106', '  ']"
2740,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['141', '  ']","['116', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['19', '  ']","['1', '  ']"
2740,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['211', '  ']","['170', '  ']","['0', '  ']","['3', 'i ']","['0', '  ']","['1', '  ']","['2', '  ']","['35', '  ']","['0', '  ']"
2740,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['36', '  ']","['28', 'i ']","['*', 'i ']","['5', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', 'i ']","['0', '  ']"
2740,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['0 - 131', 'i ']","['0 - 131', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2740,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['31', '  ']","['26', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['0', '  ']"
2740,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,062', '  ']","['1,874', '  ']","['1', '  ']","['126', '  ']","['0', '  ']","['0', '  ']","['7', '  ']","['14', '  ']","['40', '  ']"
2740,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,108', '  ']","['983', '  ']","['1', '  ']","['74', '  ']","['0', '  ']","['0', '  ']","['7', '  ']","['13', '  ']","['31', '  ']"
2740,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['5', '  ']","['5', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2740,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,103', '  ']","['978', '  ']","['1', '  ']","['74', '  ']","['0', '  ']","['0', '  ']","['7', '  ']","['13', '  ']","['31', '  ']"
2740,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['352', '  ']","['336', '  ']","['0', '  ']","['15', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2740,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['207', '  ']","['170', '  ']","['0', '  ']","['26', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['9', '  ']"
2740,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['395', '  ']","['385', '  ']","['0', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
2740,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['347', '  ']","['241', '  ']","['*', 'i ']","['106', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']"
