table_id,row_id,race_or_ethnicity_and_institution_full_path,race_or_ethnicity_and_institution_level_1,race_or_ethnicity_and_institution_level_2,race_or_ethnicity_and_institution_level_3,race_or_ethnicity_and_institution_level_4,race_or_ethnicity_and_institution_level_5,race_or_ethnicity_and_institution_hierarchy_depth,field_bachelor_s_degrees,field_high_hispanic_enrollment_institution,field_tribal_college_or_university,field_historically_black_college_or_university
3436,r128,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. Hawaii at Manoa,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. Hawaii at Manoa,5,337,No,No,No
3436,r129,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. California-Davis,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. California-Davis,5,313,No,No,No
3436,r130,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. California-Los Angeles,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. California-Los Angeles,5,304,No,No,No
3436,r131,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. Washington-Seattle Campus,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. Washington-Seattle Campus,5,297,No,No,No
3436,r132,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. California-Berkeley,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. California-Berkeley,5,281,No,No,No
3436,r133,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. California-San Diego,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. California-San Diego,5,264,No,No,No
3436,r134,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. California-Santa Cruz,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. California-Santa Cruz,5,255,Yes,No,No
3436,r135,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> Virginia Polytechnic Institute and State U.,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,Virginia Polytechnic Institute and State U.,5,244,No,No,No
3436,r136,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> Texas A &amp; M U.-College Station<br>,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,Texas A &amp; M U.-College Station<br>,5,199,No,No,No
3436,r137,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> California Polytechnic State U.-San Luis Obispo,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,California Polytechnic State U.-San Luis Obispo,5,189,No,No,No
3436,r138,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. Texas at Austin,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. Texas at Austin,5,187,No,No,No
3436,r139,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. Maryland-College Park,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. Maryland-College Park,5,182,No,No,No
3436,r140,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. Minnesota-Twin Cities,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. Minnesota-Twin Cities,5,178,No,No,No
3436,r141,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. California-Irvine,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. California-Irvine,5,175,Yes,No,No
3436,r142,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. North Texas,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. North Texas,5,175,Yes,No,No
3436,r143,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> Oregon State U.,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,Oregon State U.,5,171,No,No,No
3436,r144,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. Colorado Boulder,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. Colorado Boulder,5,171,No,No,No
3436,r145,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> San Diego State U.,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,San Diego State U.,5,167,Yes,No,No
3436,r146,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. Oregon,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. Oregon,5,165,No,No,No
3436,r147,Not Hispanic or Latino -> More than one race -> All institutions -> Other institutions,Not Hispanic or Latino,More than one race,All institutions,Other institutions,,4,22232,-,-,-
