table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plant
5213,r155,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,26782125,1752643,25029482,0
5213,r156,"United States<sup>b</sup> -> Kentucky -> Behavioral Health, Developmental and Intellectual Disabilities",United States<sup>b</sup>,Kentucky,"Behavioral Health, Developmental and Intellectual Disabilities",3,67500,0,67500,0
5213,r157,"United States<sup>b</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>b</sup>,Kentucky,"Economic Development, Cabinet for",3,3051000,0,3051000,0
5213,r158,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,2008546,1752643,255903,0
5213,r159,United States<sup>b</sup> -> Kentucky -> Horse Racing Commission,United States<sup>b</sup>,Kentucky,Horse Racing Commission,3,430748,0,430748,0
5213,r160,"United States<sup>b</sup> -> Kentucky -> Nature Preserves, Office of ",United States<sup>b</sup>,Kentucky,"Nature Preserves, Office of ",3,34200,0,34200,0
5213,r161,"United States<sup>b</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>b</sup>,Kentucky,"Postsecondary Education, Council on",3,9939022,0,9939022,0
5213,r162,"United States<sup>b</sup> -> Kentucky -> Public Health, Department for ",United States<sup>b</sup>,Kentucky,"Public Health, Department for ",3,3336309,0,3336309,0
5213,r163,United States<sup>b</sup> -> Kentucky -> Public Service Commission,United States<sup>b</sup>,Kentucky,Public Service Commission,3,21000,0,21000,0
5213,r164,United States<sup>b</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>b</sup>,Kentucky,Soybean Promotion Board,3,658864,0,658864,0
5213,r165,United States<sup>b</sup> -> Kentucky -> Transportation Cabinet,United States<sup>b</sup>,Kentucky,Transportation Cabinet,3,7234936,0,7234936,0
5213,r166,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,32360516,11101353,21259163,150000
5213,r167,United States<sup>b</sup> -> Louisiana -> Board of Regents,United States<sup>b</sup>,Louisiana,Board of Regents,3,12728300,0,12728300,0
5213,r168,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3436344,475534,2960810,0
5213,r169,"United States<sup>b</sup> -> Louisiana -> Education, Department of",United States<sup>b</sup>,Louisiana,"Education, Department of",3,394664,326982,67682,0
5213,r170,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,9200000,4500000,4700000,150000
5213,r171,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,6601208,5798837,802371,0
5213,r172,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,29035990,4038999,24996991,0
5213,r173,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,1511473,565473,946000,0
5213,r174,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,1080841,763201,317640,0
5213,r175,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,2458575,2348325,110250,0
5213,r176,United States<sup>b</sup> -> Maine -> Technology Institute,United States<sup>b</sup>,Maine,Technology Institute,3,23161101,0,23161101,0
5213,r177,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,824000,362000,462000,0
