table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_assets_total,field_worldwide_assets_property_plant_and_equipment,field_worldwide_assets_goodwill,field_worldwide_assets_identifiable_intangible_assets,field_accumulated_depreciation_and_amortization_total,field_accumulated_depreciation_and_amortization_property_plant_and_equipment,field_accumulated_depreciation_and_amortization_identifiable_intangible_assets,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_total,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_property_plant_and_equipment,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_goodwill,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_identifiable_intangible_assets,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_total,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_property_plant_and_equipment,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_goodwill,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_identifiable_intangible_assets
12327,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['384,770', '  ']","['281,613', '  ']","['42,620', '  ']","['60,538', '  ']","['271,787', '  ']","['235,074', '  ']","['36,713', '  ']","['13,954', '  ']","['12,752', '  ']","['922', '  ']","['280', '  ']","['8,484', '  ']","['2,196', '  ']","['2,920', '  ']","['3,367', '  ']"
12327,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['364,301', '  ']","['95,411', '  ']","['176,292', '  ']","['92,599', '  ']","['144,801', '  ']","['105,019', '  ']","['39,782', '  ']","['4,964', '  ']","['4,265', '  ']","['442', '  ']","['258', '  ']","['2,096', '  ']","['211', '  ']","['1,219', '  ']","['665', '  ']"
12327,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['197,182', '  ']","['59,002', '  ']","['92,167', '  ']","['46,014', '  ']","['92,943', '  ']","['72,228', '  ']","['20,715', '  ']","['4,402', '  ']","['3,952', '  ']","['398', '  ']","['52', '  ']","['1,436', '  ']","['169', '  ']","['752', '  ']","['515', '  ']"
12327,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['167,119', '  ']","['36,409', '  ']","['84,125', '  ']","['46,585', '  ']","['51,858', '  ']","['32,791', '  ']","['19,068', '  ']","['563', '  ']","['313', '  ']","['44', '  ']","['205', '  ']","['660', '  ']","['43', '  ']","['467', '  ']","['151', '  ']"
12327,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['1,589', '  ']","['D', '  ']","['D', '  ']","['598', '  ']","['181', '  ']","['89', '  ']","['92', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12327,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['72,571', '  ']","['D', '  ']","['D', '  ']","['10,094', '  ']","['23,848', '  ']","['19,036', '  ']","['4,812', '  ']","['2,596', '  ']","['1,094', '  ']","['1,450', '  ']","['52', '  ']","['190', '  ']","['14', '  ']","['109', '  ']","['68', '  ']"
12327,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['20,727', '  ']","['8,787', '  ']","['5,877', '  ']","['6,063', '  ']","['9,095', '  ']","['7,179', '  ']","['1,916', '  ']","['1,152', '  ']","['742', 'r ']","['204', '  ']","['205', '  ']","['1,139', '  ']","['120', '  ']","['944', '  ']","['75', '  ']"
12327,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['525,045', '  ']","['118,002', '  ']","['262,035', '  ']","['145,008', '  ']","['232,660', '  ']","['123,330', '  ']","['109,330', '  ']","['D', '&nbsp;']","['D', '  ']","['6,528', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['10,510', '  ']","['D', '  ']"
12327,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['449,728', '  ']","['92,573', '  ']","['231,457', '  ']","['125,699', '  ']","['195,946', '  ']","['97,255', '  ']","['98,691', '  ']","['25,716', 'i ']","['6,873', '  ']","['5,115', '  ']","['13,728', '  ']","['10,092', '  ']","['804', '  ']","['5,656', '  ']","['3,632', '  ']"
12327,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['75,317', '  ']","['25,429', '  ']","['30,578', '  ']","['19,310', '  ']","['36,715', '  ']","['26,075', '  ']","['10,640', '  ']","['D', '  ']","['D', '  ']","['1,413', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['4,854', '  ']","['D', '  ']"
