table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_doc,field_doe,field_hhs,field_nsf
10401,r207,"All states and outlying areas -> Texas -> Texas A&M U., College Station",All states and outlying areas,Texas,"Texas A&M U., College Station",3,153,0,0,0,153
10401,r208,"All states and outlying areas -> Texas -> Texas A&M U., System Office",All states and outlying areas,Texas,"Texas A&M U., System Office",3,0,0,0,0,0
10401,r209,All states and outlying areas -> Texas -> Texas A&M U.-Corpus Christi,All states and outlying areas,Texas,Texas A&M U.-Corpus Christi,3,331,0,0,0,331
10401,r210,All states and outlying areas -> Texas -> Texas State U.,All states and outlying areas,Texas,Texas State U.,3,420,0,0,0,420
10401,r211,"All states and outlying areas -> Texas -> U. North Texas, Denton",All states and outlying areas,Texas,"U. North Texas, Denton",3,686,0,0,0,686
10401,r212,"All states and outlying areas -> Texas -> U. Texas, The, Austin",All states and outlying areas,Texas,"U. Texas, The, Austin",3,11759,0,0,0,11759
10401,r213,"All states and outlying areas -> Texas -> U. Texas, The, El Paso",All states and outlying areas,Texas,"U. Texas, The, El Paso",3,5478,0,0,5077,401
10401,r214,"All states and outlying areas -> Texas -> U. Texas, The, San Antonio",All states and outlying areas,Texas,"U. Texas, The, San Antonio",3,404,0,0,0,404
10401,r215,"All states and outlying areas -> Texas -> U. Texas, The, Tyler",All states and outlying areas,Texas,"U. Texas, The, Tyler",3,113,0,0,0,113
10401,r216,All states and outlying areas -> Utah,All states and outlying areas,Utah,,2,802,0,0,0,802
10401,r217,"All states and outlying areas -> Utah -> U. Utah, The",All states and outlying areas,Utah,"U. Utah, The",3,400,0,0,0,400
10401,r218,All states and outlying areas -> Utah -> Utah State U.,All states and outlying areas,Utah,Utah State U.,3,403,0,0,0,403
10401,r219,All states and outlying areas -> Vermont,All states and outlying areas,Vermont,,2,730,0,0,0,730
10401,r220,All states and outlying areas -> Vermont -> U. Vermont,All states and outlying areas,Vermont,U. Vermont,3,730,0,0,0,730
10401,r221,All states and outlying areas -> Virginia,All states and outlying areas,Virginia,,2,6901,0,0,3330,3571
10401,r222,All states and outlying areas -> Virginia -> Eastern Mennonite U.,All states and outlying areas,Virginia,Eastern Mennonite U.,3,19,0,0,0,19
10401,r223,All states and outlying areas -> Virginia -> George Mason U.,All states and outlying areas,Virginia,George Mason U.,3,3330,0,0,3330,0
10401,r224,All states and outlying areas -> Virginia -> Hampton U.,All states and outlying areas,Virginia,Hampton U.,3,350,0,0,0,350
10401,r225,All states and outlying areas -> Virginia -> Norfolk State U.,All states and outlying areas,Virginia,Norfolk State U.,3,742,0,0,0,742
10401,r226,All states and outlying areas -> Virginia -> Old Dominion U.,All states and outlying areas,Virginia,Old Dominion U.,3,180,0,0,0,180
10401,r227,All states and outlying areas -> Virginia -> Randolph-Macon C.,All states and outlying areas,Virginia,Randolph-Macon C.,3,59,0,0,0,59
10401,r228,All states and outlying areas -> Virginia -> U. Virginia,All states and outlying areas,Virginia,U. Virginia,3,660,0,0,0,660
10401,r229,All states and outlying areas -> Virginia -> Virginia Commonwealth U.,All states and outlying areas,Virginia,Virginia Commonwealth U.,3,171,0,0,0,171
10401,r230,All states and outlying areas -> Virginia -> Virginia Polytechnic Institute and State U.,All states and outlying areas,Virginia,Virginia Polytechnic Institute and State U.,3,1303,0,0,0,1303
10401,r231,All states and outlying areas -> Virginia -> William & Mary,All states and outlying areas,Virginia,William & Mary,3,87,0,0,0,87
10401,r232,All states and outlying areas -> Washington,All states and outlying areas,Washington,,2,2703,0,0,0,2703
10401,r233,All states and outlying areas -> Washington -> U. Puget Sound,All states and outlying areas,Washington,U. Puget Sound,3,653,0,0,0,653
10401,r234,All states and outlying areas -> Washington -> U. Washington,All states and outlying areas,Washington,U. Washington,3,1925,0,0,0,1925
10401,r235,All states and outlying areas -> Washington -> Western Washington U.,All states and outlying areas,Washington,Western Washington U.,3,125,0,0,0,125
10401,r236,All states and outlying areas -> West Virginia,All states and outlying areas,West Virginia,,2,1557,0,0,0,1557
10401,r237,All states and outlying areas -> West Virginia -> Marshall U.,All states and outlying areas,West Virginia,Marshall U.,3,268,0,0,0,268
10401,r238,All states and outlying areas -> West Virginia -> West Virginia U.,All states and outlying areas,West Virginia,West Virginia U.,3,1289,0,0,0,1289
10401,r239,All states and outlying areas -> Wisconsin,All states and outlying areas,Wisconsin,,2,660,0,0,0,660
10401,r240,All states and outlying areas -> Wisconsin -> U. Wisconsin-Madison,All states and outlying areas,Wisconsin,U. Wisconsin-Madison,3,360,0,0,0,360
10401,r241,All states and outlying areas -> Wisconsin -> U. Wisconsin-River Falls,All states and outlying areas,Wisconsin,U. Wisconsin-River Falls,3,300,0,0,0,300
10401,r242,All states and outlying areas -> Puerto Rico,All states and outlying areas,Puerto Rico,,2,11,0,0,0,11
10401,r243,"All states and outlying areas -> Puerto Rico -> U. Puerto Rico, Rio Piedras",All states and outlying areas,Puerto Rico,"U. Puerto Rico, Rio Piedras",3,11,0,0,0,11
