table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8320,r054,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,4,1624,0.2,85,0.05,1539,0.5,561,0.9,558,1.8
8320,r055,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,4,23215,3.1,3066,0.7,20149,6.9,3163,5.0,848,2.8
8320,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,4,1441,0.2,439,0.1,1002,0.3,213,0.3,64,0.2
8320,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,4,16779,2.2,2278,0.5,14501,4.9,2677,4.2,1235,4.0
8320,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,4,1082,0.1,541,0.1,541,0.2,209,0.3,190,0.6
8320,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,3,73325,9.6,51878,11.1,21447,7.3,1325,2.1,803,2.6
8320,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,4,24427,3.2,19517,4.2,4910,1.7,110,0.2,60,0.2
8320,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,4,7556,1.0,4167,0.9,3389,1.2,63,0.1,23,0.1
8320,r062,All detailed fields -> Science -> Psychology -> Counseling psychology,All detailed fields,Science,Psychology,Counseling psychology,4,18426,2.4,16965,3.6,1461,0.5,10,0.05,15,0.05
8320,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,4,2363,0.3,1566,0.3,797,0.3,106,0.2,110,0.4
8320,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",4,13883,1.8,7329,1.6,6554,2.2,705,1.1,389,1.3
8320,r065,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,4,6670,0.9,2334,0.5,4336,1.5,331,0.5,206,0.7
8320,r066,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,3,82223,10.8,47616,10.2,34607,11.8,1645,2.6,1505,4.9
8320,r067,All detailed fields -> Science -> Social sciences -> Agricultural and natural resource economics,All detailed fields,Science,Social sciences,Agricultural and natural resource economics,4,1194,0.2,672,0.1,522,0.2,42,0.1,41,0.1
8320,r068,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,4,6421,0.8,2292,0.5,4129,1.4,149,0.2,79,0.3
8320,r069,"All detailed fields -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All detailed fields,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,5093,0.7,2767,0.6,2326,0.8,230,0.4,122,0.4
8320,r070,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,4,6829,0.9,5602,1.2,1227,0.4,16,0.05,8,0.05
8320,r071,All detailed fields -> Science -> Social sciences -> Criminology,All detailed fields,Science,Social sciences,Criminology,4,1580,0.2,1272,0.3,308,0.1,3,0.05,11,0.05
8320,r072,All detailed fields -> Science -> Social sciences -> Economics (except agricultural and natural resource),All detailed fields,Science,Social sciences,Economics (except agricultural and natural resource),4,15148,2.0,6882,1.5,8266,2.8,165,0.3,164,0.5
8320,r073,All detailed fields -> Science -> Social sciences -> Geography and cartography,All detailed fields,Science,Social sciences,Geography and cartography,4,4876,0.6,3147,0.7,1729,0.6,127,0.2,106,0.3
8320,r074,All detailed fields -> Science -> Social sciences -> International relations and national security studies,All detailed fields,Science,Social sciences,International relations and national security studies,4,8782,1.2,8308,1.8,474,0.2,117,0.2,76,0.2
8320,r075,All detailed fields -> Science -> Social sciences -> Linguistics,All detailed fields,Science,Social sciences,Linguistics,4,2840,0.4,1188,0.3,1652,0.6,50,0.1,40,0.1
8320,r076,All detailed fields -> Science -> Social sciences -> Political science and government,All detailed fields,Science,Social sciences,Political science and government,4,8602,1.1,3270,0.7,5332,1.8,164,0.3,74,0.2
8320,r077,All detailed fields -> Science -> Social sciences -> Public policy analysis,All detailed fields,Science,Social sciences,Public policy analysis,4,10030,1.3,7290,1.6,2740,0.9,213,0.3,358,1.2
8320,r078,All detailed fields -> Science -> Social sciences -> Sociology and population studies,All detailed fields,Science,Social sciences,Sociology and population studies,4,7206,0.9,2331,0.5,4875,1.7,168,0.3,145,0.5
8320,r079,All detailed fields -> Science -> Social sciences -> Urban studies and affairs ,All detailed fields,Science,Social sciences,Urban studies and affairs ,4,1218,0.2,827,0.2,391,0.1,10,0.05,28,0.1
8320,r080,"All detailed fields -> Science -> Social sciences -> Social sciences, other",All detailed fields,Science,Social sciences,"Social sciences, other",4,2404,0.3,1768,0.4,636,0.2,191,0.3,253,0.8
8320,r081,All detailed fields -> Engineering,All detailed fields,Engineering,,,2,168050,22.1,95126,20.4,72924,24.8,8340,13.2,3992,13.1
8320,r082,"All detailed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All detailed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,7838,1.0,5065,1.1,2773,0.9,277,0.4,144,0.5
8320,r083,"All detailed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All detailed fields,Engineering,"Biological, biomedical, and biosystems engineering",,3,14059,1.8,5192,1.1,8867,3.0,1616,2.6,589,1.9
8320,r084,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,10696,1.4,2983,0.6,7713,2.6,1167,1.8,307,1.0
8320,r085,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,4,9670,1.3,2555,0.5,7115,2.4,1133,1.8,257,0.8
8320,r086,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,4,1026,0.1,428,0.1,598,0.2,34,0.1,50,0.2
8320,r087,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,3,19608,2.6,11730,2.5,7878,2.7,968,1.5,479,1.6
