table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_level_4,_b_field_of_study_b_level_5,_b_field_of_study_b_hierarchy_depth,field_all_doctorate_recipientsa,field_temporary_visa_holders,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
4659,r120,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Statistics (mathematics),All fields,Mathematics and computer sciences,Mathematics and statistics ,Statistics (mathematics),,4,404,253,132,9,0,32,3,82,5,0,1
4659,r121,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,,2,8946,1832,6605,657,22,443,536,4550,236,69,92
4659,r122,All fields -> Psychology and social sciences -> Psychology ,All fields,Psychology and social sciences,Psychology ,,,3,3879,257,3317,355,3,193,262,2298,122,31,53
4659,r123,All fields -> Psychology and social sciences -> Psychology  -> Behavioral analysis,All fields,Psychology and social sciences,Psychology ,Behavioral analysis,,4,47,0,46,0,0,2,2,40,1,0,1
4659,r124,All fields -> Psychology and social sciences -> Psychology  -> Clinical psychology,All fields,Psychology and social sciences,Psychology ,Clinical psychology,,4,1282,36,1155,124,1,81,75,803,44,14,13
4659,r125,All fields -> Psychology and social sciences -> Psychology  -> Cognitive neuroscience,All fields,Psychology and social sciences,Psychology ,Cognitive neuroscience,,4,198,35,160,16,0,14,2,120,8,0,0
4659,r126,All fields -> Psychology and social sciences -> Psychology  -> Cognitive psychology and psycholinguistics,All fields,Psychology and social sciences,Psychology ,Cognitive psychology and psycholinguistics,,4,112,20,90,5,0,4,1,76,4,0,0
4659,r127,All fields -> Psychology and social sciences -> Psychology  -> Community psychology,All fields,Psychology and social sciences,Psychology ,Community psychology,,4,42,3,35,4,0,3,8,19,0,0,1
4659,r128,All fields -> Psychology and social sciences -> Psychology  -> Counseling,All fields,Psychology and social sciences,Psychology ,Counseling,,4,277,16,242,22,1,15,37,147,10,2,8
4659,r129,All fields -> Psychology and social sciences -> Psychology  -> Developmental and child psychology,All fields,Psychology and social sciences,Psychology ,Developmental and child psychology,,4,161,19,138,20,0,14,12,87,5,0,0
4659,r130,All fields -> Psychology and social sciences -> Psychology  -> Educational psychology (psychology),All fields,Psychology and social sciences,Psychology ,Educational psychology (psychology),,4,94,7,73,10,0,1,12,44,2,3,1
4659,r131,All fields -> Psychology and social sciences -> Psychology  -> Experimental psychology,All fields,Psychology and social sciences,Psychology ,Experimental psychology,,4,142,15,125,8,0,6,3,102,5,0,1
4659,r132,"All fields -> Psychology and social sciences -> Psychology  -> Family psychology, human development and family studies",All fields,Psychology and social sciences,Psychology ,"Family psychology, human development and family studies",,4,166,31,129,10,0,5,17,87,6,2,2
4659,r133,"All fields -> Psychology and social sciences -> Psychology  -> Health, medical psychology",All fields,Psychology and social sciences,Psychology ,"Health, medical psychology",,4,73,3,59,5,0,2,4,44,2,0,2
4659,r134,All fields -> Psychology and social sciences -> Psychology  -> Industrial and organizational psychology,All fields,Psychology and social sciences,Psychology ,Industrial and organizational psychology,,4,213,16,188,26,0,5,15,131,10,1,0
4659,r135,"All fields -> Psychology and social sciences -> Psychology  -> Marriage and family therapy, counseling",All fields,Psychology and social sciences,Psychology ,"Marriage and family therapy, counseling",,4,91,6,66,6,0,2,14,41,3,0,0
4659,r136,"All fields -> Psychology and social sciences -> Psychology  -> Neuropsychology, physiological psychology",All fields,Psychology and social sciences,Psychology ,"Neuropsychology, physiological psychology",,4,29,1,25,4,0,2,2,15,2,0,0
4659,r137,All fields -> Psychology and social sciences -> Psychology  -> School psychology (psychology),All fields,Psychology and social sciences,Psychology ,School psychology (psychology),,4,144,1,141,19,0,6,16,96,4,0,0
4659,r138,All fields -> Psychology and social sciences -> Psychology  -> Social psychology,All fields,Psychology and social sciences,Psychology ,Social psychology,,4,190,14,173,16,0,11,10,130,4,2,0
4659,r139,"All fields -> Psychology and social sciences -> Psychology  -> Psychology, general",All fields,Psychology and social sciences,Psychology ,"Psychology, general",,4,302,17,202,28,0,5,17,121,7,6,18
4659,r140,"All fields -> Psychology and social sciences -> Psychology  -> Psychology, aggregated",All fields,Psychology and social sciences,Psychology ,"Psychology, aggregated",,4,316,17,270,32,1,15,15,195,5,1,6
4659,r141,All fields -> Psychology and social sciences -> Social sciences ,All fields,Psychology and social sciences,Social sciences ,,,3,5067,1575,3288,302,19,250,274,2252,114,38,39
4659,r142,All fields -> Psychology and social sciences -> Social sciences  -> Anthropology ,All fields,Psychology and social sciences,Social sciences ,Anthropology ,,4,448,63,366,38,2,28,11,261,20,1,5
4659,r143,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, cultural",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, cultural",5,248,48,195,23,2,18,9,130,11,0,2
4659,r144,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, general",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, general",5,101,8,80,5,0,6,2,62,4,0,1
4659,r145,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, physical and biological",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, physical and biological",5,99,7,91,10,0,4,0,69,5,1,2
4659,r146,All fields -> Psychology and social sciences -> Social sciences  -> Economics ,All fields,Psychology and social sciences,Social sciences ,Economics ,,4,1216,691,459,32,1,60,22,318,19,2,5
4659,r147,"All fields -> Psychology and social sciences -> Social sciences  -> Economics  -> Econometrics, economics",All fields,Psychology and social sciences,Social sciences ,Economics ,"Econometrics, economics",5,1171,674,431,31,1,59,21,294,18,2,5
4659,r148,All fields -> Psychology and social sciences -> Social sciences  -> Economics  -> Natural resources and environmental economics (social sciences),All fields,Psychology and social sciences,Social sciences ,Economics ,Natural resources and environmental economics (social sciences),5,45,17,28,1,0,1,1,24,1,0,0
4659,r149,All fields -> Psychology and social sciences -> Social sciences  -> Political science and government,All fields,Psychology and social sciences,Social sciences ,Political science and government,,4,637,152,460,31,1,34,20,348,11,9,6
4659,r150,All fields -> Psychology and social sciences -> Social sciences  -> Sociology,All fields,Psychology and social sciences,Social sciences ,Sociology,,4,607,101,488,50,3,33,50,328,14,5,5
4659,r151,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences,All fields,Psychology and social sciences,Social sciences ,Other social sciences,,4,2159,568,1515,151,12,95,171,997,50,21,18
4659,r152,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> American, U.S. studies",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"American, U.S. studies",5,57,6,49,6,1,4,7,27,3,1,0
4659,r153,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Applied linguistics,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Applied linguistics,5,95,47,47,5,0,8,0,32,2,0,0
4659,r154,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Archaeology (social sciences),All fields,Psychology and social sciences,Social sciences ,Other social sciences,Archaeology (social sciences),5,116,17,99,10,1,1,2,77,4,4,0
4659,r155,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Area, ethnic, and cultural studies",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Area, ethnic, and cultural studies",5,156,37,114,30,5,10,15,41,10,1,2
4659,r156,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Criminal justice and corrections,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Criminal justice and corrections,5,135,12,116,13,0,0,27,74,0,0,2
4659,r157,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Criminology,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Criminology,5,103,21,79,7,0,3,5,61,2,0,1
4659,r158,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Demography, gerontology, statistics, urban affairs, social sciences- general, social sciences-other",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Demography, gerontology, statistics, urban affairs, social sciences- general, social sciences-other",5,295,67,202,20,1,13,32,123,7,4,2
4659,r159,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Gender and women's studies,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Gender and women's studies,5,50,10,40,2,1,2,6,26,2,0,1
4659,r160,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Geography,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Geography,5,301,104,194,17,1,13,7,143,7,3,3
4659,r161,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Health policy analysis,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Health policy analysis,5,56,13,42,3,0,6,11,22,0,0,0
4659,r162,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> History, science and technology and society",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"History, science and technology and society",5,61,11,48,2,0,3,3,33,3,2,2
4659,r163,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> International relations, international affairs",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"International relations, international affairs",5,131,27,97,7,1,7,5,73,1,1,2
4659,r164,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Linguistics,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Linguistics,5,232,79,145,14,1,8,7,112,2,1,0
4659,r165,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Public policy analysis,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Public policy analysis,5,249,63,179,10,0,12,35,112,5,3,2
4659,r166,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Urban, city, community and regional planning",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Urban, city, community and regional planning",5,122,54,64,5,0,5,9,41,2,1,1
4659,r167,All fields -> Engineering,All fields,Engineering,,,,2,10476,5955,4154,287,5,665,177,2804,128,46,42
4659,r168,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,399,163,221,17,0,25,7,163,5,1,3
4659,r169,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,,,3,1083,364,689,51,1,145,29,428,30,3,2
4659,r170,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,994,482,465,35,0,88,15,308,12,6,1
4659,r171,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,796,513,245,17,2,28,14,170,4,5,5
4659,r172,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",,,3,1973,1344,552,46,1,111,21,349,12,8,4
4659,r173,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,,,3,304,200,82,9,0,12,11,43,1,2,4
4659,r174,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,,,3,880,463,398,28,0,69,13,267,14,4,3
4659,r175,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,1634,983,601,32,1,79,13,437,25,6,8
4659,r176,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,2413,1443,901,52,0,108,54,639,25,11,12
4659,r177,All fields -> Engineering -> Other engineering -> Computer engineering,All fields,Engineering,Other engineering,Computer engineering,,4,479,339,127,5,0,25,7,83,2,2,3
4659,r178,"All fields -> Engineering -> Other engineering -> Environmental, environmental health engineering",All fields,Engineering,Other engineering,"Environmental, environmental health engineering",,4,242,112,122,8,0,12,10,87,3,1,1
4659,r179,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,169,58,109,7,0,7,2,89,3,1,0
4659,r180,All fields -> Engineering -> Other engineering -> Robotics,All fields,Engineering,Other engineering,Robotics,,4,144,78,65,4,0,10,2,42,5,2,0
4659,r181,All fields -> Engineering -> Other engineering -> Structural engineering,All fields,Engineering,Other engineering,Structural engineering,,4,113,75,37,4,0,8,1,22,2,0,0
4659,r182,All fields -> Engineering -> Other engineering -> Systems engineering,All fields,Engineering,Other engineering,Systems engineering,,4,119,53,61,5,0,7,4,45,0,0,0
4659,r183,"All fields -> Engineering -> Other engineering -> Other engineering, aggregated",All fields,Engineering,Other engineering,"Other engineering, aggregated",,4,1147,728,380,19,0,39,28,271,10,5,8
4659,r184,All fields -> Education,All fields,Education,,,,2,4716,661,3896,371,16,204,628,2474,99,41,63
4659,r185,All fields -> Education -> Education administration,All fields,Education,Education administration,,,3,927,59,818,74,4,24,198,476,18,8,16
4659,r186,All fields -> Education -> Education administration -> Educational administration and supervision,All fields,Education,Education administration,Educational administration and supervision,,4,150,12,125,4,0,5,48,60,3,2,3
4659,r187,"All fields -> Education -> Education administration -> Educational and human resource studies, development",All fields,Education,Education administration,"Educational and human resource studies, development",,4,44,9,33,8,0,3,5,16,1,0,0
4659,r188,All fields -> Education -> Education administration -> Educational leadership,All fields,Education,Education administration,Educational leadership,,4,673,37,606,56,4,15,122,380,10,6,13
4659,r189,All fields -> Education -> Education administration -> Urban education and leadership,All fields,Education,Education administration,Urban education and leadership,,4,60,1,54,6,0,1,23,20,4,0,0
4659,r190,All fields -> Education -> Education research ,All fields,Education,Education research ,,,3,2279,372,1855,181,9,114,269,1194,50,13,25
4659,r191,"All fields -> Education -> Education research  -> Counseling education, counseling and guidance",All fields,Education,Education research ,"Counseling education, counseling and guidance",,4,232,25,195,18,2,10,41,112,4,0,8
4659,r192,"All fields -> Education -> Education research  -> Curriculum, instruction, educational assessment/ measurement",All fields,Education,Education research ,"Curriculum, instruction, educational assessment/ measurement",,4,525,112,397,47,1,18,43,271,9,5,3
4659,r193,All fields -> Education -> Education research  -> Educational policy analysis,All fields,Education,Education research ,Educational policy analysis,,4,123,22,100,8,0,4,18,63,4,1,2
4659,r194,All fields -> Education -> Education research  -> Educational psychology (education),All fields,Education,Education research ,Educational psychology (education),,4,190,34,154,6,1,23,10,99,10,5,0
4659,r195,"All fields -> Education -> Education research  -> Educational statistics, research methods",All fields,Education,Education research ,"Educational statistics, research methods",,4,91,30,60,2,0,5,9,42,2,0,0
4659,r196,"All fields -> Education -> Education research  -> Educational/ instructional technology, media design",All fields,Education,Education research ,"Educational/ instructional technology, media design",,4,197,53,138,9,0,11,21,90,6,0,1
4659,r197,All fields -> Education -> Education research  -> Higher education evaluation and research,All fields,Education,Education research ,Higher education evaluation and research,,4,408,24,378,49,3,19,79,215,6,1,6
4659,r198,All fields -> Education -> Education research  -> Learning sciences,All fields,Education,Education research ,Learning sciences,,4,65,9,53,5,0,2,3,40,1,0,2
4659,r199,All fields -> Education -> Education research  -> School psychology (education),All fields,Education,Education research ,School psychology (education),,4,108,6,101,9,0,4,12,74,1,0,1
4659,r200,All fields -> Education -> Education research  -> Social and philosophical foundations of education,All fields,Education,Education research ,Social and philosophical foundations of education,,4,67,6,60,11,1,8,10,26,3,0,1
4659,r201,All fields -> Education -> Education research  -> Special education,All fields,Education,Education research ,Special education,,4,273,51,219,17,1,10,23,162,4,1,1
4659,r202,All fields -> Education -> Teacher education,All fields,Education,Teacher education,,,3,113,18,94,4,0,5,18,60,1,0,6
4659,r203,All fields -> Education -> Teaching fields ,All fields,Education,Teaching fields ,,,3,940,163,751,59,2,36,93,522,16,12,11
4659,r204,All fields -> Education -> Teaching fields  -> Health education,All fields,Education,Teaching fields ,Health education,,4,50,9,40,3,0,0,13,23,1,0,0
4659,r205,All fields -> Education -> Teaching fields  -> Literacy and reading education,All fields,Education,Teaching fields ,Literacy and reading education,,4,127,21,102,6,1,2,10,77,2,2,2
4659,r206,All fields -> Education -> Teaching fields  -> Mathematics education,All fields,Education,Teaching fields ,Mathematics education,,4,122,21,101,5,1,6,11,73,3,1,1
4659,r207,All fields -> Education -> Teaching fields  -> Music education,All fields,Education,Teaching fields ,Music education,,4,84,8,74,5,0,2,9,53,1,1,3
4659,r208,All fields -> Education -> Teaching fields  -> Science education,All fields,Education,Teaching fields ,Science education,,4,139,21,115,7,0,7,21,74,4,0,2
4659,r209,"All fields -> Education -> Teaching fields  -> Teaching fields, aggregated",All fields,Education,Teaching fields ,"Teaching fields, aggregated",,4,418,83,319,33,0,19,29,222,5,8,3
4659,r210,All fields -> Education -> Other education ,All fields,Education,Other education ,,,3,457,49,378,53,1,25,50,222,14,8,5
4659,r211,"All fields -> Education -> Other education  -> Education, general",All fields,Education,Other education ,"Education, general",,4,258,19,216,39,0,18,27,121,3,4,4
4659,r212,"All fields -> Education -> Other education  -> Other education, aggregated",All fields,Education,Other education ,"Other education, aggregated",,4,199,30,162,14,1,7,23,101,11,4,1
4659,r213,All fields -> Humanities and arts,All fields,Humanities and arts,,,,2,4939,742,3915,352,16,207,174,2943,107,51,65
4659,r214,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,,,3,564,185,349,84,2,16,6,224,6,8,3
4659,r215,All fields -> Humanities and arts -> Foreign languages and literature -> French,All fields,Humanities and arts,Foreign languages and literature,French,,4,89,22,57,3,0,4,2,47,0,1,0
4659,r216,All fields -> Humanities and arts -> Foreign languages and literature -> German,All fields,Humanities and arts,Foreign languages and literature,German,,4,49,10,38,1,0,1,0,32,2,1,1
4659,r217,All fields -> Humanities and arts -> Foreign languages and literature -> Spanish,All fields,Humanities and arts,Foreign languages and literature,Spanish,,4,162,53,103,43,0,1,2,52,1,3,1
4659,r218,"All fields -> Humanities and arts -> Foreign languages and literature -> Other languages and literature, aggregated",All fields,Humanities and arts,Foreign languages and literature,"Other languages and literature, aggregated",,4,264,100,151,37,2,10,2,93,3,3,1
4659,r219,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,,,3,887,120,746,58,2,36,28,585,21,6,10
4659,r220,"All fields -> Humanities and arts -> History -> American history, United States and Canada",All fields,Humanities and arts,History,"American history, United States and Canada",,4,319,11,308,24,2,8,15,246,9,2,2
4659,r221,All fields -> Humanities and arts -> History -> Asian history,All fields,Humanities and arts,History,Asian history,,4,79,28,51,0,0,17,1,28,4,0,1
4659,r222,All fields -> Humanities and arts -> History -> European history,All fields,Humanities and arts,History,European history,,4,148,15,133,9,0,0,0,122,1,1,0
4659,r223,All fields -> Humanities and arts -> History -> Latin American history,All fields,Humanities and arts,History,Latin American history,,4,42,10,32,9,0,1,0,20,2,0,0
4659,r224,"All fields -> Humanities and arts -> History -> Middle, Near East history",All fields,Humanities and arts,History,"Middle, Near East history",,4,46,16,28,1,0,1,1,24,0,1,0
4659,r225,"All fields -> Humanities and arts -> History -> History, general",All fields,Humanities and arts,History,"History, general",,4,132,19,96,9,0,5,5,66,4,1,6
4659,r226,"All fields -> Humanities and arts -> History -> History, aggregated",All fields,Humanities and arts,History,"History, aggregated",,4,121,21,98,6,0,4,6,79,1,1,1
4659,r227,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,,,3,1392,131,1165,72,5,51,46,914,39,11,27
4659,r228,"All fields -> Humanities and arts -> Letters -> American literature, United States and Canada",All fields,Humanities and arts,Letters,"American literature, United States and Canada",,4,247,14,232,18,0,6,8,188,11,1,0
4659,r229,All fields -> Humanities and arts -> Letters -> Classics,All fields,Humanities and arts,Letters,Classics,,4,85,12,68,4,0,1,0,56,5,1,1
4659,r230,All fields -> Humanities and arts -> Letters -> Comparative literature,All fields,Humanities and arts,Letters,Comparative literature,,4,175,45,117,15,0,10,3,86,2,1,0
4659,r231,All fields -> Humanities and arts -> Letters -> English language,All fields,Humanities and arts,Letters,English language,,4,184,15,104,3,1,1,6,66,1,4,22
4659,r232,"All fields -> Humanities and arts -> Letters -> English literature, British and Commonwealth",All fields,Humanities and arts,Letters,"English literature, British and Commonwealth",,4,335,28,303,11,0,15,7,264,4,1,1
4659,r233,All fields -> Humanities and arts -> Letters -> Rhetoric and composition,All fields,Humanities and arts,Letters,Rhetoric and composition,,4,206,10,195,13,3,9,14,147,6,1,2
4659,r234,All fields -> Humanities and arts -> Letters -> Speech and rhetorical studies,All fields,Humanities and arts,Letters,Speech and rhetorical studies,,4,33,0,30,0,0,1,3,25,0,1,0
4659,r235,"All fields -> Humanities and arts -> Letters -> Letters, aggregated",All fields,Humanities and arts,Letters,"Letters, aggregated",,4,127,7,116,8,1,8,5,82,10,1,1
4659,r236,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,,,3,2096,306,1655,138,7,104,94,1220,41,26,25
4659,r237,"All fields -> Humanities and arts -> Other humanities and arts -> African American studies, literature, and history",All fields,Humanities and arts,Other humanities and arts,"African American studies, literature, and history",,4,68,2,64,5,0,2,39,13,3,1,1
4659,r238,"All fields -> Humanities and arts -> Other humanities and arts -> Art history, criticism, and conservation",All fields,Humanities and arts,Other humanities and arts,"Art history, criticism, and conservation",,4,223,33,180,20,0,13,1,140,4,2,0
4659,r239,"All fields -> Humanities and arts -> Other humanities and arts -> Dance, drama",All fields,Humanities and arts,Other humanities and arts,"Dance, drama",,4,92,13,70,4,1,5,4,50,2,2,2
4659,r240,"All fields -> Humanities and arts -> Other humanities and arts -> Film, cinema, video studies",All fields,Humanities and arts,Other humanities and arts,"Film, cinema, video studies",,4,83,20,60,4,0,5,5,42,2,2,0
4659,r241,All fields -> Humanities and arts -> Other humanities and arts -> Music,All fields,Humanities and arts,Other humanities and arts,Music,,4,76,14,49,4,1,3,2,34,1,1,3
4659,r242,All fields -> Humanities and arts -> Other humanities and arts -> Musicology and ethnomusicology,All fields,Humanities and arts,Other humanities and arts,Musicology and ethnomusicology,,4,126,18,106,8,0,6,3,85,1,2,1
4659,r243,All fields -> Humanities and arts -> Other humanities and arts -> Music performance,All fields,Humanities and arts,Other humanities and arts,Music performance,,4,136,28,95,8,0,4,6,71,3,2,1
4659,r244,All fields -> Humanities and arts -> Other humanities and arts -> Music theory and composition,All fields,Humanities and arts,Other humanities and arts,Music theory and composition,,4,116,24,91,6,0,8,0,72,3,0,2
4659,r245,"All fields -> Humanities and arts -> Other humanities and arts -> Philosophy, ethics",All fields,Humanities and arts,Other humanities and arts,"Philosophy, ethics",,4,460,69,368,37,2,15,10,278,11,9,6
4659,r246,"All fields -> Humanities and arts -> Other humanities and arts -> Religion/ religious studies, Jewish/ Judaic studies",All fields,Humanities and arts,Other humanities and arts,"Religion/ religious studies, Jewish/ Judaic studies",,4,227,20,187,14,0,17,9,134,7,2,4
4659,r247,"All fields -> Humanities and arts -> Other humanities and arts -> Theology, religious education",All fields,Humanities and arts,Other humanities and arts,"Theology, religious education",,4,214,30,178,13,1,13,9,133,3,2,4
4659,r248,"All fields -> Humanities and arts -> Other humanities and arts -> Other humanities, aggregated",All fields,Humanities and arts,Other humanities and arts,"Other humanities, aggregated",,4,275,35,207,15,2,13,6,168,1,1,1
4659,r249,All fields -> Other<sup>b</sup>,All fields,Other<sup>b</sup>,,,,2,3006,1076,1738,128,11,162,250,1097,38,18,34
4659,r250,All fields -> Other<sup>b</sup> -> Business management and administration,All fields,Other<sup>b</sup>,Business management and administration,,,3,1466,658,709,46,2,106,102,413,19,6,15
4659,r251,All fields -> Other<sup>b</sup> -> Business management and administration -> Accounting,All fields,Other<sup>b</sup>,Business management and administration,Accounting,,4,157,73,81,5,0,15,2,53,5,0,1
4659,r252,All fields -> Other<sup>b</sup> -> Business management and administration -> Business administration and management,All fields,Other<sup>b</sup>,Business management and administration,Business administration and management,,4,302,138,137,7,0,15,23,86,1,2,3
4659,r253,All fields -> Other<sup>b</sup> -> Business management and administration -> Finance,All fields,Other<sup>b</sup>,Business management and administration,Finance,,4,198,119,63,5,2,19,1,33,3,0,0
4659,r254,"All fields -> Other<sup>b</sup> -> Business management and administration -> Human resources, organizational behavior",All fields,Other<sup>b</sup>,Business management and administration,"Human resources, organizational behavior",,4,216,44,160,8,0,16,36,94,4,1,1
4659,r255,"All fields -> Other<sup>b</sup> -> Business management and administration -> Management information systems, business statistics",All fields,Other<sup>b</sup>,Business management and administration,"Management information systems, business statistics",,4,109,65,37,0,0,7,6,22,1,1,0
4659,r256,All fields -> Other<sup>b</sup> -> Business management and administration -> Marketing management and research,All fields,Other<sup>b</sup>,Business management and administration,Marketing management and research,,4,109,50,51,9,0,9,3,27,1,0,2
4659,r257,All fields -> Other<sup>b</sup> -> Business management and administration -> Other aggregated business fields,All fields,Other<sup>b</sup>,Business management and administration,Other aggregated business fields,,4,375,169,180,12,0,25,31,98,4,2,8
4659,r258,All fields -> Other<sup>b</sup> -> Communication,All fields,Other<sup>b</sup>,Communication,,,3,593,154,412,30,1,23,32,304,9,6,7
4659,r259,All fields -> Other<sup>b</sup> -> Communication -> Communication research,All fields,Other<sup>b</sup>,Communication,Communication research,,4,141,36,102,10,1,3,11,74,2,1,0
4659,r260,"All fields -> Other<sup>b</sup> -> Communication -> Mass communication, media studies",All fields,Other<sup>b</sup>,Communication,"Mass communication, media studies",,4,188,61,117,11,0,9,5,83,2,2,5
4659,r261,"All fields -> Other<sup>b</sup> -> Communication -> Communication, general",All fields,Other<sup>b</sup>,Communication,"Communication, general",,4,174,42,126,5,0,8,9,95,4,3,2
4659,r262,"All fields -> Other<sup>b</sup> -> Communication -> Communication, aggregated",All fields,Other<sup>b</sup>,Communication,"Communication, aggregated",,4,90,15,67,4,0,3,7,52,1,0,0
4659,r263,All fields -> Other<sup>b</sup> -> Non-S&E fields nec,All fields,Other<sup>b</sup>,Non-S&E fields nec,,,3,947,264,617,52,8,33,116,380,10,6,12
4659,r264,All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Architecture and environmental design,All fields,Other<sup>b</sup>,Non-S&E fields nec,Architecture and environmental design,,4,120,61,52,2,0,6,1,37,1,3,2
4659,r265,"All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Family, consumer sciences and human sciences",All fields,Other<sup>b</sup>,Non-S&E fields nec,"Family, consumer sciences and human sciences",,4,91,29,60,4,2,6,13,32,1,0,2
4659,r266,"All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Parks, sports, recreation, leisure and fitness",All fields,Other<sup>b</sup>,Non-S&E fields nec,"Parks, sports, recreation, leisure and fitness",,4,57,10,46,1,0,1,4,38,2,0,0
4659,r267,All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Public administration,All fields,Other<sup>b</sup>,Non-S&E fields nec,Public administration,,4,221,56,150,17,2,3,50,71,3,1,3
4659,r268,All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Social work,All fields,Other<sup>b</sup>,Non-S&E fields nec,Social work,,4,310,41,252,20,3,16,43,164,3,1,2
4659,r269,"All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Fields nec, aggregated",All fields,Other<sup>b</sup>,Non-S&E fields nec,"Fields nec, aggregated",,4,148,67,57,8,1,1,5,38,0,1,3
