table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
6589,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['53,233', '']","['29,131', '']","['24,103', '']","['2,182', '']","['603', '']","['1,579', '']"
6589,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['4,207', '']","['2,288', '']","['1,919', '']","['465', '']","['95', '']","['370', '']"
6589,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['21,046', '']","['18,395', '']","['2,651', '']","['174', '']","['128', '']","['46', '']"
6589,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['21,669', '']","['3,265', '']","['18,403', '']","['1,397', '']","['316', '']","['1,081', '']"
6589,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['6,457', '']","['1,083', '']","['5,374', '']","['236', '']","['118', '']","['118', '']"
6589,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['14,446', 'i']","['2,155', '']","['12,291', 'i']","['1,039', '']","['198', '']","['841', '']"
6589,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['766', '']","['27', '']","['738', '']","['122', '']","['*', '']","['122', '']"
6589,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['6,312', '']","['5,182', '']","['1,129', '']","['146', '']","['64', '']","['82', '']"
6589,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['2,265', '']","['1,928', '']","['337', '']","['69', '']","['66', '']","['4', '']"
6589,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1,380 - 14,067', '']","['1,322 - 14,012', '']","['34 - 58', '']","['86', '']","['86', '']","['0', '']"
6589,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['492,956', '']","['428,968', '']","['63,989', '']","['45,879', '']","['37,537', '']","['8,342', '']"
6589,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6589,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['5,501', '']","['4,432', '']","['1,070', '']","['657', '']","['514', '']","['143', '']"
6589,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['12,418', '']","['10,040', '']","['2,378', '']","['1,567', '']","['1,214', '']","['353', '']"
6589,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6589,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['14,021', '']","['11,492', '']","['2,529', '']","['2,548', '']","['2,176', '']","['372', '']"
6589,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['19,793', '']","['16,520', '']","['3,274', '']","['2,260', '']","['1,912', '']","['348', '']"
6589,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6589,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['18,883', '']","['15,356', '']","['3,527', '']","['2,120', '']","['1,719', '']","['402', '']"
6589,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['23,969', '']","['21,549', '']","['2,420', '']","['2,311', '']","['2,118', '']","['193', '']"
6589,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['75,671', '']","['64,475', '']","['11,196', '']","['6,733', '']","['4,512', '']","['2,221', '']"
6589,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['50,811', '']","['44,728', '']","['6,083', '']","['6,194', '']","['5,634', '']","['559', '']"
6589,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['88,263', '']","['74,385', '']","['13,878', 'i']","['10,996', '']","['8,850', '']","['2,147', '']"
6589,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['183,626', '']","['165,991', '']","['17,635', '']","['10,492', '']","['8,888', '']","['1,604', '']"
