table_id,row_id,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_female,field_bachelor_s_male,field_master_s_female,field_master_s_male,field_doctorate_female,field_doctorate_male
1279,r082,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Social scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Social scientist,6,141000,123000,47000,35000,49000,44000,41000,41000
1279,r083,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,5,168000,1027000,99000,690000,60000,283000,9000,54000
1279,r084,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E-related occupations<sup>c</sup>&#160;,,,4,3314000,2412000,1827000,1156000,1041000,582000,78000,95000
1279,r085,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> Non-S&E occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,Non-S&E occupations&#160;,,,4,4209000,4419000,2374000,2552000,1452000,1249000,133000,189000
1279,r086,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,,,,3,274000,221000,167000,143000,76000,52000,11000,8000
1279,r087,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,,,4,37000,73000,24000,48000,8000,19000,3000,5000
1279,r088,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,,5,29000,49000,17000,33000,7000,12000,3000,4000
1279,r089,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Biological/life scientist,6,4000,5000,2000,3000,1000,S,1000,2000
1279,r090,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Computer and information scientist,6,13000,36000,12000,27000,1000,8000,,
1279,r091,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Mathematical scientist,6,1000,2000,0.05,S,,S,,
1279,r092,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Physical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Physical scientist,6,4000,3000,S,1000,1000,,,1000
1279,r093,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Psychologist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Psychologist,6,2000,S,,,S,,S,1000
1279,r094,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Social scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Social scientist,6,4000,2000,S,,1000,1000,1000,S
1279,r095,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,5,8000,23000,7000,15000,1000,8000,,1000
1279,r096,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,S&E-related occupations<sup>c</sup>&#160;,,,4,99000,48000,56000,28000,28000,11000,2000,1000
1279,r097,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> More than one race&#160;&#160; -> Non-S&E occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,More than one race&#160;&#160;,Non-S&E occupations&#160;,,,4,139000,100000,87000,67000,39000,22000,6000,2000
