table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_occupations_total_number,field_science_occupations_total_se,field_science_occupations_post_secondary_teachers_number,field_science_occupations_post_secondary_teachers_se,field_science_occupations_other_number,field_science_occupations_other_se,field_engineering_occupations_total_number,field_engineering_occupations_total_se,field_engineering_occupations_post_secondary_teachers_number,field_engineering_occupations_post_secondary_teachers_se,field_engineering_occupations_other_number,field_engineering_occupations_other_se,field_s_e_related_occupations_total_number,field_s_e_related_occupations_total_se,field_s_e_related_occupations_health_occupations_number,field_s_e_related_occupations_health_occupations_se,field_s_e_related_occupations_s_e_managers_number,field_s_e_related_occupations_s_e_managers_se,field_s_e_related_occupations_other_number,field_s_e_related_occupations_other_se,field_non_s_e_occupations_total_number,field_non_s_e_occupations_total_se,field_non_s_e_occupations_non_s_e_managers_number,field_non_s_e_occupations_non_s_e_managers_se,field_non_s_e_occupations_non_s_e_teachers_number,field_non_s_e_occupations_non_s_e_teachers_se,field_non_s_e_occupations_other_number,field_non_s_e_occupations_other_se
8233,r088,"All fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,3900,200,800,100,100,25,700,100,2200,175,550,125,1650,150,350,75,S,S,200,50,100,50,600,100,350,100,,,200,50
8233,r089,All fields -> Engineering -> Other engineering -> Industrial and manufacturing engineering,All fields,Engineering,Other engineering,Industrial and manufacturing engineering,,4,8700,325,2850,250,350,125,2500,225,2950,275,1500,225,1450,175,650,125,,,450,125,150,75,2250,225,700,150,700,125,850,150
8233,r090,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,3100,125,700,100,50,50,650,100,1700,125,250,50,1450,125,300,50,100,50,150,50,50,25,400,75,250,75,,,150,50
8233,r091,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,6900,250,1550,200,200,100,1300,175,3850,225,1250,150,2600,200,550,125,50,50,400,100,100,50,1000,150,500,125,200,75,300,75
8233,r092,All fields -> Health,All fields,Health,,,,2,41650,525,12500,475,2050,225,10450,425,550,150,50,25,500,150,21450,550,19650,575,1550,200,300,100,7150,375,3550,325,1250,150,2300,200
8233,r093,All fields -> Health -> Communication disorders sciences and services,All fields,Health,Communication disorders sciences and services,,,3,3100,125,500,100,100,50,400,75,,,,,,,2000,125,1900,125,100,50,,,600,100,200,50,150,50,250,75
8233,r094,All fields -> Health -> Hospital and medical administration services,All fields,Health,Hospital and medical administration services,,,3,1300,100,300,50,50,25,300,50,,,,,,,650,75,550,75,100,25,,,350,50,200,50,50,25,150,50
8233,r095,"All fields -> Health -> Pharmacy, pharmaceutical sciences, and administration",All fields,Health,"Pharmacy, pharmaceutical sciences, and administration",,,3,7850,250,4600,250,550,125,4050,275,100,75,,,100,75,1800,200,1300,175,400,125,S,S,1300,200,800,200,,,400,75
8233,r096,All fields -> Health -> Public health,All fields,Health,Public health,,,3,9400,225,3400,225,400,100,3000,225,150,50,,,150,50,4150,275,3700,275,450,100,50,50,1700,175,900,125,200,75,600,100
8233,r097,"All fields -> Health -> Registered nursing, nursing administration, nursing research",All fields,Health,"Registered nursing, nursing administration, nursing research",,,3,8550,375,500,125,100,50,400,100,,,,,,,6750,350,6550,350,200,75,,,1300,175,900,150,150,75,300,125
8233,r098,"All fields -> Health -> Health sciences, other",All fields,Health,"Health sciences, other",,,3,11500,275,3200,300,850,150,2350,250,250,125,,,250,125,6100,325,5650,300,350,125,150,75,1900,175,600,100,650,125,650,100
