table_id,row_id,field_and_enrollment_status_full_path,field_and_enrollment_status_level_1,field_and_enrollment_status_level_2,field_and_enrollment_status_level_3,field_and_enrollment_status_level_4,field_and_enrollment_status_level_5,field_and_enrollment_status_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
1132,r156,S&E -> Science -> Social sciences -> Sociology -> Part time           ,S&E,Science,Social sciences,Sociology,Part time           ,5,1720,239,18,76,272,3,886,51,74,101
1132,r157,S&E -> Science -> Social sciences -> Sociology and anthropology,S&E,Science,Social sciences,Sociology and anthropology,,4,208,24,1,4,42,1,88,1,33,14
1132,r158,S&E -> Science -> Social sciences -> Sociology and anthropology -> Full time    ,S&E,Science,Social sciences,Sociology and anthropology,Full time    ,5,156,13,1,3,37,1,73,1,13,14
1132,r159,S&E -> Science -> Social sciences -> Sociology and anthropology -> Part time           ,S&E,Science,Social sciences,Sociology and anthropology,Part time           ,5,52,11,0,1,5,0,15,0,20,0
1132,r160,S&E -> Science -> Social sciences -> Social sciences nec,S&E,Science,Social sciences,Social sciences nec,,4,15360,2005,136,595,2548,56,6952,477,721,1870
1132,r161,S&E -> Science -> Social sciences -> Social sciences nec -> Full time    ,S&E,Science,Social sciences,Social sciences nec,Full time    ,5,9136,1177,86,422,1215,29,3862,311,366,1668
1132,r162,S&E -> Science -> Social sciences -> Social sciences nec -> Part time           ,S&E,Science,Social sciences,Social sciences nec,Part time           ,5,6224,828,50,173,1333,27,3090,166,355,202
1132,r163,S&E -> Engineering,S&E,Engineering,,,,2,168443,6962,245,9902,3710,115,45622,1824,4659,95404
1132,r164,S&E -> Engineering -> Full time    ,S&E,Engineering,Full time    ,,,3,128203,4150,141,6554,2115,66,28613,1245,2601,82718
1132,r165,S&E -> Engineering -> Part time           ,S&E,Engineering,Part time           ,,,3,40240,2812,104,3348,1595,49,17009,579,2058,12686
1132,r166,S&E -> Engineering -> Aerospace engineering,S&E,Engineering,Aerospace engineering,,,3,5416,296,12,390,91,4,2396,79,149,1999
1132,r167,S&E -> Engineering -> Aerospace engineering -> Full time    ,S&E,Engineering,Aerospace engineering,Full time    ,,4,4081,172,10,257,57,2,1640,66,94,1783
1132,r168,S&E -> Engineering -> Aerospace engineering -> Part time           ,S&E,Engineering,Aerospace engineering,Part time           ,,4,1335,124,2,133,34,2,756,13,55,216
1132,r169,S&E -> Engineering -> Agricultural engineering,S&E,Engineering,Agricultural engineering,,,3,1626,51,5,68,36,1,549,22,24,870
1132,r170,S&E -> Engineering -> Agricultural engineering -> Full time    ,S&E,Engineering,Agricultural engineering,Full time    ,,4,1329,42,5,53,28,1,428,17,18,737
1132,r171,S&E -> Engineering -> Agricultural engineering -> Part time           ,S&E,Engineering,Agricultural engineering,Part time           ,,4,297,9,0,15,8,0,121,5,6,133
1132,r172,S&E -> Engineering -> Architecture,S&E,Engineering,Architecture,,,3,1671,125,8,66,92,0,578,22,48,732
1132,r173,S&E -> Engineering -> Architecture -> Full time    ,S&E,Engineering,Architecture,Full time    ,,4,1509,109,8,54,79,0,501,19,36,703
1132,r174,S&E -> Engineering -> Architecture -> Part time           ,S&E,Engineering,Architecture,Part time           ,,4,162,16,0,12,13,0,77,3,12,29
1132,r175,S&E -> Engineering -> Biomedical engineering,S&E,Engineering,Biomedical engineering,,,3,10208,576,18,1369,294,7,3995,209,448,3292
1132,r176,S&E -> Engineering -> Biomedical engineering -> Full time    ,S&E,Engineering,Biomedical engineering,Full time    ,,4,9136,504,16,1223,243,6,3507,188,394,3055
1132,r177,S&E -> Engineering -> Biomedical engineering -> Part time           ,S&E,Engineering,Biomedical engineering,Part time           ,,4,1072,72,2,146,51,1,488,21,54,237
1132,r178,S&E -> Engineering -> Chemical engineering,S&E,Engineering,Chemical engineering,,,3,10187,341,15,731,227,3,3017,115,246,5492
1132,r179,S&E -> Engineering -> Chemical engineering -> Full time    ,S&E,Engineering,Chemical engineering,Full time    ,,4,9002,282,13,618,178,2,2541,104,179,5085
1132,r180,S&E -> Engineering -> Chemical engineering -> Part time           ,S&E,Engineering,Chemical engineering,Part time           ,,4,1185,59,2,113,49,1,476,11,67,407
1132,r181,S&E -> Engineering -> Civil engineering,S&E,Engineering,Civil engineering,,,3,20569,1189,40,986,441,23,6305,255,662,10668
1132,r182,S&E -> Engineering -> Civil engineering -> Full time    ,S&E,Engineering,Civil engineering,Full time    ,,4,15183,677,16,600,245,13,3823,162,352,9295
1132,r183,S&E -> Engineering -> Civil engineering -> Part time           ,S&E,Engineering,Civil engineering,Part time           ,,4,5386,512,24,386,196,10,2482,93,310,1373
1132,r184,S&E -> Engineering -> Electrical engineering,S&E,Engineering,Electrical engineering,,,3,50062,1357,35,2699,806,19,8013,326,936,35871
1132,r185,S&E -> Engineering -> Electrical engineering -> Full time    ,S&E,Engineering,Electrical engineering,Full time    ,,4,38158,713,16,1531,413,10,4435,180,460,30400
1132,r186,S&E -> Engineering -> Electrical engineering -> Part time           ,S&E,Engineering,Electrical engineering,Part time           ,,4,11904,644,19,1168,393,9,3578,146,476,5471
1132,r187,"S&E -> Engineering -> Engineering science, mechanics, and physics engineering",S&E,Engineering,"Engineering science, mechanics, and physics engineering",,,3,1756,37,11,94,43,8,501,20,54,988
1132,r188,"S&E -> Engineering -> Engineering science, mechanics, and physics engineering -> Full time    ",S&E,Engineering,"Engineering science, mechanics, and physics engineering",Full time    ,,4,1318,29,6,72,27,7,375,18,31,753
1132,r189,"S&E -> Engineering -> Engineering science, mechanics, and physics engineering -> Part time           ",S&E,Engineering,"Engineering science, mechanics, and physics engineering",Part time           ,,4,438,8,5,22,16,1,126,2,23,235
1132,r190,S&E -> Engineering -> Industrial and manufacturing engineering,S&E,Engineering,Industrial and manufacturing engineering,,,3,16200,756,26,713,529,15,4009,132,579,9441
1132,r191,S&E -> Engineering -> Industrial and manufacturing engineering -> Full time    ,S&E,Engineering,Industrial and manufacturing engineering,Full time    ,,4,10582,322,4,326,177,4,1450,54,176,8069
1132,r192,S&E -> Engineering -> Industrial and manufacturing engineering -> Part time           ,S&E,Engineering,Industrial and manufacturing engineering,Part time           ,,4,5618,434,22,387,352,11,2559,78,403,1372
1132,r193,S&E -> Engineering -> Mechanical engineering,S&E,Engineering,Mechanical engineering,,,3,27898,1273,36,1430,446,13,8369,334,938,15059
1132,r194,S&E -> Engineering -> Mechanical engineering -> Full time    ,S&E,Engineering,Mechanical engineering,Full time    ,,4,20924,721,28,925,270,7,5089,226,523,13135
1132,r195,S&E -> Engineering -> Mechanical engineering -> Part time           ,S&E,Engineering,Mechanical engineering,Part time           ,,4,6974,552,8,505,176,6,3280,108,415,1924
1132,r196,S&E -> Engineering -> Metallurgical and materials engineering,S&E,Engineering,Metallurgical and materials engineering,,,3,8106,324,10,501,154,7,2581,112,153,4264
1132,r197,S&E -> Engineering -> Metallurgical and materials engineering -> Full time    ,S&E,Engineering,Metallurgical and materials engineering,Full time    ,,4,7149,271,10,440,122,4,2120,97,125,3960
1132,r198,S&E -> Engineering -> Metallurgical and materials engineering -> Part time           ,S&E,Engineering,Metallurgical and materials engineering,Part time           ,,4,957,53,0,61,32,3,461,15,28,304
1132,r199,S&E -> Engineering -> Mining engineering,S&E,Engineering,Mining engineering,,,3,378,15,2,4,7,0,159,6,5,180
1132,r200,S&E -> Engineering -> Mining engineering -> Full time    ,S&E,Engineering,Mining engineering,Full time    ,,4,287,8,1,2,4,0,113,5,1,153
1132,r201,S&E -> Engineering -> Mining engineering -> Part time           ,S&E,Engineering,Mining engineering,Part time           ,,4,91,7,1,2,3,0,46,1,4,27
1132,r202,S&E -> Engineering -> Nuclear engineering,S&E,Engineering,Nuclear engineering,,,3,1466,90,2,58,22,0,844,24,51,375
1132,r203,S&E -> Engineering -> Nuclear engineering -> Full time    ,S&E,Engineering,Nuclear engineering,Full time    ,,4,1229,70,2,53,18,0,666,21,42,357
1132,r204,S&E -> Engineering -> Nuclear engineering -> Part time           ,S&E,Engineering,Nuclear engineering,Part time           ,,4,237,20,0,5,4,0,178,3,9,18
1132,r205,S&E -> Engineering -> Petroleum engineering,S&E,Engineering,Petroleum engineering,,,3,1862,51,3,84,34,0,312,10,50,1318
1132,r206,S&E -> Engineering -> Petroleum engineering -> Full time    ,S&E,Engineering,Petroleum engineering,Full time    ,,4,1461,24,1,54,22,0,190,7,25,1138
1132,r207,S&E -> Engineering -> Petroleum engineering -> Part time           ,S&E,Engineering,Petroleum engineering,Part time           ,,4,401,27,2,30,12,0,122,3,25,180
1132,r208,S&E -> Engineering -> Engineering nec,S&E,Engineering,Engineering nec,,,3,11038,481,22,709,488,15,3994,158,316,4855
1132,r209,S&E -> Engineering -> Engineering nec -> Full time    ,S&E,Engineering,Engineering nec,Full time    ,,4,6855,206,5,346,232,10,1735,81,145,4095
1132,r210,S&E -> Engineering -> Engineering nec -> Part time           ,S&E,Engineering,Engineering nec,Part time           ,,4,4183,275,17,363,256,5,2259,77,171,760
