table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_all_u_s_citizens_and_permanent_residents_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
11673,r068,"All fields -> Non-science and engineering -> Business -> Business, other",All fields,Non-science and engineering,Business,"Business, other",4,440,100.0,5.7,0.2,19.3,7.0,61.6,2.5,1.4,2.3
11673,r069,All fields -> Non-science and engineering -> Education,All fields,Non-science and engineering,Education,,3,3291,100.0,10.8,0.8,5.5,18.0,59.8,2.3,0.8,2.0
11673,r070,All fields -> Non-science and engineering -> Education -> Education leadership and administration,All fields,Non-science and engineering,Education,Education leadership and administration,4,1051,100.0,11.2,0.6,4.5,25.8,52.6,2.4,0.9,2.1
11673,r071,All fields -> Non-science and engineering -> Education -> Education research,All fields,Non-science and engineering,Education,Education research,4,985,100.0,9.3,0.6,6.0,16.4,62.8,2.2,0.9,1.6
11673,r072,All fields -> Non-science and engineering -> Education -> Teacher education and teaching fields,All fields,Non-science and engineering,Education,Teacher education and teaching fields,4,885,100.0,10.8,1.1,5.6,12.0,65.8,2.0,0.3,2.3
11673,r073,"All fields -> Non-science and engineering -> Education -> Education, other",All fields,Non-science and engineering,Education,"Education, other",4,370,100.0,13.5,0.8,6.5,14.9,57.6,3.0,1.4,2.4
11673,r074,All fields -> Non-science and engineering -> Humanities,All fields,Non-science and engineering,Humanities,,3,2536,100.0,10.6,0.5,5.1,5.9,71.2,2.9,1.6,2.2
11673,r075,"All fields -> Non-science and engineering -> Humanities -> English language and literature, letters",All fields,Non-science and engineering,Humanities,"English language and literature, letters",4,870,100.0,6.8,0.8,4.7,6.3,74.3,3.3,1.6,2.2
11673,r076,"All fields -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics",All fields,Non-science and engineering,Humanities,"Foreign languages, literatures, and linguistics",4,322,100.0,26.7,0.6,4.7,3.1,60.6,2.5,0.3,1.6
11673,r077,All fields -> Non-science and engineering -> Humanities -> History,All fields,Non-science and engineering,Humanities,History,4,578,100.0,11.4,0.3,5.0,6.2,71.3,3.1,1.2,1.4
11673,r078,All fields -> Non-science and engineering -> Humanities -> Philosophy and religious studies,All fields,Non-science and engineering,Humanities,Philosophy and religious studies,4,482,100.0,8.5,0.4,5.6,4.6,72.0,3.1,3.3,2.5
11673,r079,"All fields -> Non-science and engineering -> Humanities -> Humanities, other",All fields,Non-science and engineering,Humanities,"Humanities, other",4,284,100.0,5.6,0.0,6.3,9.2,72.2,1.4,1.1,4.2
11673,r080,All fields -> Non-science and engineering -> Visual and performing arts,All fields,Non-science and engineering,Visual and performing arts,,3,575,100.0,8.7,0.3,6.6,3.8,73.6,2.8,1.6,2.6
11673,r081,All fields -> Non-science and engineering -> Visual and performing arts -> Performing arts,All fields,Non-science and engineering,Visual and performing arts,Performing arts,4,340,100.0,8.8,0.3,5.3,4.1,73.8,3.5,1.8,2.4
11673,r082,"All fields -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design",All fields,Non-science and engineering,Visual and performing arts,"Visual arts, media studies, and design",4,235,100.0,8.5,0.4,8.5,3.4,73.2,1.7,1.3,3.0
11673,r083,All fields -> Non-science and engineering -> Other non-science and engineering,All fields,Non-science and engineering,Other non-science and engineering,,3,1491,100.0,9.7,0.3,7.4,15.9,59.4,3.7,1.8,1.9
11673,r084,All fields -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism,All fields,Non-science and engineering,Other non-science and engineering,Communications and journalism,4,440,100.0,8.6,0.2,7.3,12.5,65.5,3.9,1.4,0.7
11673,r085,All fields -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies,All fields,Non-science and engineering,Other non-science and engineering,Multidisciplinary/ interdisciplinary studies,4,281,100.0,10.0,0.7,5.3,12.1,64.1,1.4,1.8,4.6
11673,r086,All fields -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,All fields,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,383,100.0,10.7,0.3,6.5,25.1,50.4,4.4,1.3,1.3
11673,r087,"All fields -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",All fields,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,387,100.0,9.6,0.3,9.8,13.4,57.9,4.4,2.8,1.8
