table_id,row_id,time_period,broad_field_level_1,broad_field_level_2,broad_field_hierarchy_depth,value
7821,r075_6,2,Detailed field,Code,2,617810
7821,r075_7,2,Detailed field,Label,2,Audiology and speech pathology
7821,r076_6,,Detailed field,Code,2,617820
7821,r076_7,,Detailed field,Label,2,Health services administration
7821,r077_6,,Detailed field,Code,2,617830
7821,r077_7,,Detailed field,Label,2,Health/ medical assistants
7821,r078_6,,Detailed field,Code,2,617840
7821,r078_7,,Detailed field,Label,2,Health/ medical technologies
7821,r079_6,,Detailed field,Code,2,617850
7821,r079_7,,Detailed field,Label,2,"Medical preparatory programs (e.g., pre-dentistry, pre-medical, pre-veterinary)"
7821,r080_6,,Detailed field,Code,2,617860
7821,r080_7,,Detailed field,Label,2,"Medicine (dentistry, optometry, osteopathic, podiatry, veterinary)"
7821,r081_6,,Detailed field,Code,2,617870
7821,r081_7,,Detailed field,Label,2,Nursing (4 years or longer program)
7821,r082_6,,Detailed field,Code,2,617880
7821,r082_7,,Detailed field,Label,2,Pharmacy
7821,r083_6,,Detailed field,Code,2,617890
7821,r083_7,,Detailed field,Label,2,Physical therapy and other rehabilitation/ therapeutic services
7821,r084_6,,Detailed field,Code,2,617900
7821,r084_7,,Detailed field,Label,2,Public health (including environmental health and epidemiology)
7821,r085_6,,Detailed field,Code,2,617910
7821,r085_7,,Detailed field,Label,2,Other health/ medical sciences
7821,r086_4,,Minor field,Code,2,62
7821,r086_5,,Minor field,Label,2,Science and mathematics teacher education
7821,r086_6,,Detailed field,Code,2,627020
7821,r086_7,,Detailed field,Label,2,Computer teacher education
7821,r087_6,,Detailed field,Code,2,627060
7821,r087_7,,Detailed field,Label,2,Mathematics teacher education
7821,r088_6,,Detailed field,Code,2,627090
7821,r088_7,,Detailed field,Label,2,Science teacher education
7821,r089_6,,Detailed field,Code,2,627120
7821,r089_7,,Detailed field,Label,2,Social science teacher education
7821,r090_4,,Minor field,Code,2,63
7821,r090_5,,Minor field,Label,2,Technology and technical fields
7821,r090_6,,Detailed field,Code,2,636720
7821,r090_7,,Detailed field,Label,2,Computer programming
7821,r091_6,,Detailed field,Code,2,636750
7821,r091_7,,Detailed field,Label,2,Data processing
7821,r092_6,,Detailed field,Code,2,637510
7821,r092_7,,Detailed field,Label,2,Electrical and electronic technologies
7821,r093_6,,Detailed field,Code,2,637520
7821,r093_7,,Detailed field,Label,2,Industrial production technologies
7821,r094_6,,Detailed field,Code,2,637530
7821,r094_7,,Detailed field,Label,2,Mechanical engineering-related technologies
7821,r095_6,,Detailed field,Code,2,637540
7821,r095_7,,Detailed field,Label,2,Other engineering-related technologies
7821,r096_4,,Minor field,Code,2,64
7821,r096_5,,Minor field,Label,2,Other science and engineering-related fields
7821,r096_6,,Detailed field,Code,2,646100
7821,r096_7,,Detailed field,Label,2,Architecture/ environmental design
7821,r097_6,,Detailed field,Code,2,646520
7821,r097_7,,Detailed field,Label,2,Actuarial science
7821,r098_1,3,Broad field,Label,2,Non-S&E fields
7821,r098_2,3,Major field,Code,2,7
7821,r098_3,3,Major field,Label,2,Non-S&E fields
7821,r098_4,3,Minor field,Code,2,71
7821,r098_5,3,Minor field,Label,2,Management and administration fields
7821,r098_6,3,Detailed field,Code,2,716020
7821,r098_7,3,Detailed field,Label,2,Other agricultural business and production
7821,r099_6,,Detailed field,Code,2,716510
7821,r099_7,,Detailed field,Label,2,Accounting
7821,r100_6,,Detailed field,Code,2,716530
7821,r100_7,,Detailed field,Label,2,Business administration and management
7821,r101_6,,Detailed field,Code,2,716540
7821,r101_7,,Detailed field,Label,2,"Business, general"
7821,r102_6,,Detailed field,Code,2,716550
7821,r102_7,,Detailed field,Label,2,Business and managerial economics
7821,r103_6,,Detailed field,Code,2,716570
7821,r103_7,,Detailed field,Label,2,Financial management
7821,r104_6,,Detailed field,Code,2,716590
7821,r104_7,,Detailed field,Label,2,Other business management/ administrative services
7821,r105_4,,Minor field,Code,2,72
7821,r105_5,,Minor field,Label,2,"Education, except science and math teacher education"
7821,r105_6,,Detailed field,Code,2,727010
7821,r105_7,,Detailed field,Label,2,Education administration
7821,r106_6,,Detailed field,Code,2,727030
7821,r106_7,,Detailed field,Label,2,Counselor education and guidance services
7821,r107_6,,Detailed field,Code,2,727050
7821,r107_7,,Detailed field,Label,2,Elementary teacher education
7821,r108_6,,Detailed field,Code,2,727070
7821,r108_7,,Detailed field,Label,2,Physical education and coaching
7821,r109_6,,Detailed field,Code,2,727080
7821,r109_7,,Detailed field,Label,2,Pre-school/ kindergarten/ early childhood teacher education
7821,r110_6,,Detailed field,Code,2,727100
7821,r110_7,,Detailed field,Label,2,Secondary teacher education
7821,r111_6,,Detailed field,Code,2,727110
7821,r111_7,,Detailed field,Label,2,Special education
7821,r112_6,,Detailed field,Code,2,727130
7821,r112_7,,Detailed field,Label,2,Other education
7821,r113_4,,Minor field,Code,2,73
7821,r113_5,,Minor field,Label,2,Social service and related fields
7821,r113_6,,Detailed field,Code,2,738620
7821,r113_7,,Detailed field,Label,2,"Other philosophy, religion, theology"
7821,r114_6,,Detailed field,Code,2,739100
7821,r114_7,,Detailed field,Label,2,Social work
7821,r115_4,,Minor field,Code,2,74
7821,r115_5,,Minor field,Label,2,Sales and marketing fields
7821,r115_6,,Detailed field,Code,2,746560
7821,r115_7,,Detailed field,Label,2,Business marketing/ marketing management
7821,r116_6,,Detailed field,Code,2,746580
7821,r116_7,,Detailed field,Label,2,Marketing research
7821,r117_4,,Minor field,Code,2,75
7821,r117_5,,Minor field,Label,2,Art and humanities fields
7821,r117_6,,Detailed field,Code,2,757600
7821,r117_7,,Detailed field,Label,2,"English language, literature and letters"
7821,r118_6,,Detailed field,Code,2,757720
7821,r118_7,,Detailed field,Label,2,Other foreign languages and literature
7821,r119_6,,Detailed field,Code,2,758200
7821,r119_7,,Detailed field,Label,2,Liberal arts/ general studies
7821,r120_6,,Detailed field,Code,2,759260
7821,r120_7,,Detailed field,Label,2,"History, other"
7821,r121_6,,Detailed field,Code,2,759410
7821,r121_7,,Detailed field,Label,2,Dramatic arts
7821,r122_6,,Detailed field,Code,2,759420
7821,r122_7,,Detailed field,Label,2,"Fine arts, all fields"
7821,r123_6,,Detailed field,Code,2,759430
7821,r123_7,,Detailed field,Label,2,"Music, all fields"
7821,r124_6,,Detailed field,Code,2,759440
7821,r124_7,,Detailed field,Label,2,Other visual and performing arts
7821,r125_4,,Minor field,Code,2,76
7821,r125_5,,Minor field,Label,2,Other non-S&E fields
7821,r125_6,,Detailed field,Code,2,766610
7821,r125_7,,Detailed field,Label,2,"Communications, general"
7821,r126_6,,Detailed field,Code,2,766620
7821,r126_7,,Detailed field,Label,2,Journalism
7821,r127_6,,Detailed field,Code,2,766630
7821,r127_7,,Detailed field,Label,2,Other communications
7821,r128_6,,Detailed field,Code,2,766820
7821,r128_7,,Detailed field,Label,2,Other natural resources and conservation
7821,r129_6,,Detailed field,Code,2,766900
7821,r129_7,,Detailed field,Label,2,Criminal justice/ protective services
7821,r130_6,,Detailed field,Code,2,768000
7821,r130_7,,Detailed field,Label,2,Home economics
7821,r131_6,,Detailed field,Code,2,768100
7821,r131_7,,Detailed field,Label,2,Law/ prelaw/ legal studies
7821,r132_6,,Detailed field,Code,2,768300
7821,r132_7,,Detailed field,Label,2,Library science
7821,r133_6,,Detailed field,Code,2,768500
7821,r133_7,,Detailed field,Label,2,"Parks, recreation, leisure, and fitness studies"
7821,r134_6,,Detailed field,Code,2,769010
7821,r134_7,,Detailed field,Label,2,Public administration
7821,r135_6,,Detailed field,Code,2,769030
7821,r135_7,,Detailed field,Label,2,Other public affairs
7821,r136_6,,Detailed field,Code,2,769950
7821,r136_7,,Detailed field,Label,2,Other fields (not listed)
