table_id,row_id,time_period,all_scientists_and_engineers_level_1,all_scientists_and_engineers_level_2,all_scientists_and_engineers_level_3,all_scientists_and_engineers_hierarchy_depth,value
6338,r255,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),3,Total,3,100
6338,r256,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),3,SE,3,50
6338,r257,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),0,Percent,3,96.88
6338,r258,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),0,SE,3,0.3
6338,r259,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),1,Percent,3,2.38
6338,r260,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),1,SE,3,0.25
6338,r261,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),2,Percent,3,0.63
6338,r262,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),2,SE,3,0.15
6338,r263,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),3,Percent,3,0.11
6338,r264,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (%),3,SE,3,0.05
6338,r265,Total -> Field of degree -> Engineering,All scientists and engineers,Number,,2,178050
6338,r266,Total -> Field of degree -> Engineering,All scientists and engineers,SE,,2,700
6338,r267,Total -> Field of degree -> Engineering,Unemployment spells (number),0,Total,3,171800
6338,r268,Total -> Field of degree -> Engineering,Unemployment spells (number),0,SE,3,850
6338,r269,Total -> Field of degree -> Engineering,Unemployment spells (number),1,Total,3,4950
6338,r270,Total -> Field of degree -> Engineering,Unemployment spells (number),1,SE,3,450
6338,r271,Total -> Field of degree -> Engineering,Unemployment spells (number),2,Total,3,1050
6338,r272,Total -> Field of degree -> Engineering,Unemployment spells (number),2,SE,3,225
6338,r273,Total -> Field of degree -> Engineering,Unemployment spells (number),3,Total,3,250
6338,r274,Total -> Field of degree -> Engineering,Unemployment spells (number),3,SE,3,100
6338,r275,Total -> Field of degree -> Engineering,Unemployment spells (%),0,Percent,3,96.48
6338,r276,Total -> Field of degree -> Engineering,Unemployment spells (%),0,SE,3,0.3
6338,r277,Total -> Field of degree -> Engineering,Unemployment spells (%),1,Percent,3,2.79
6338,r278,Total -> Field of degree -> Engineering,Unemployment spells (%),1,SE,3,0.25
6338,r279,Total -> Field of degree -> Engineering,Unemployment spells (%),2,Percent,3,0.6
6338,r280,Total -> Field of degree -> Engineering,Unemployment spells (%),2,SE,3,0.15
6338,r281,Total -> Field of degree -> Engineering,Unemployment spells (%),3,Percent,3,0.14
6338,r282,Total -> Field of degree -> Engineering,Unemployment spells (%),3,SE,3,0.05
6338,r283,Total -> Field of degree -> Health,All scientists and engineers,Number,,2,37550
6338,r284,Total -> Field of degree -> Health,All scientists and engineers,SE,,2,425
6338,r285,Total -> Field of degree -> Health,Unemployment spells (number),0,Total,3,36300
6338,r286,Total -> Field of degree -> Health,Unemployment spells (number),0,SE,3,450
6338,r287,Total -> Field of degree -> Health,Unemployment spells (number),1,Total,3,1100
6338,r288,Total -> Field of degree -> Health,Unemployment spells (number),1,SE,3,225
6338,r289,Total -> Field of degree -> Health,Unemployment spells (number),2,Total,3,100
6338,r290,Total -> Field of degree -> Health,Unemployment spells (number),2,SE,3,50
6338,r291,Total -> Field of degree -> Health,Unemployment spells (%),0,Percent,3,96.57
6338,r292,Total -> Field of degree -> Health,Unemployment spells (%),0,SE,3,0.55
6338,r293,Total -> Field of degree -> Health,Unemployment spells (%),1,Percent,3,2.96
6338,r294,Total -> Field of degree -> Health,Unemployment spells (%),1,SE,3,0.6
6338,r295,Total -> Field of degree -> Health,Unemployment spells (%),2,Percent,3,0.32
6338,r296,Total -> Field of degree -> Health,Unemployment spells (%),2,SE,3,0.15
6338,r297,Total -> Years since degree -> &#8804; 10 years,All scientists and engineers,Number,,2,164250
6338,r298,Total -> Years since degree -> &#8804; 10 years,All scientists and engineers,SE,,2,675
6338,r299,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),0,Total,3,156750
6338,r300,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),0,SE,3,800
6338,r301,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),1,Total,3,6350
6338,r302,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),1,SE,3,400
6338,r303,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),2,Total,3,900
6338,r304,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),2,SE,3,150
6338,r305,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),3,Total,3,200
6338,r306,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (number),3,SE,3,75
6338,r307,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),0,Percent,3,95.45
6338,r308,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),0,SE,3,0.3
6338,r309,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),1,Percent,3,3.88
6338,r310,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),1,SE,3,0.25
6338,r311,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),2,Percent,3,0.55
6338,r312,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),2,SE,3,0.1
6338,r313,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),3,Percent,3,0.13
6338,r314,Total -> Years since degree -> &#8804; 10 years,Unemployment spells (%),3,SE,3,0.05
6338,r315,Total -> Years since degree -> 11&#8211;20 years,All scientists and engineers,Number,,2,291850
6338,r316,Total -> Years since degree -> 11&#8211;20 years,All scientists and engineers,SE,,2,1000
6338,r317,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),0,Total,3,282700
6338,r318,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),0,SE,3,1100
6338,r319,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),1,Total,3,7650
6338,r320,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),1,SE,3,500
6338,r321,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),2,Total,3,1200
6338,r322,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),2,SE,3,200
6338,r323,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),3,Total,3,400
6338,r324,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (number),3,SE,3,100
6338,r325,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),0,Percent,3,96.85
6338,r326,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),0,SE,3,0.2
6338,r327,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),1,Percent,3,2.61
6338,r328,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),1,SE,3,0.2
6338,r329,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),2,Percent,3,0.4
6338,r330,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),2,SE,3,0.1
6338,r331,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),3,Percent,3,0.13
6338,r332,Total -> Years since degree -> 11&#8211;20 years,Unemployment spells (%),3,SE,3,0.05
6338,r333,Total -> Years since degree -> 21&#8211;30 years,All scientists and engineers,Number,,2,243350
6338,r334,Total -> Years since degree -> 21&#8211;30 years,All scientists and engineers,SE,,2,1325
6338,r335,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),0,Total,3,235050
6338,r336,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),0,SE,3,1425
6338,r337,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),1,Total,3,6150
6338,r338,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),1,SE,3,450
6338,r339,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),2,Total,3,1750
6338,r340,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),2,SE,3,275
6338,r341,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),3,Total,3,400
6338,r342,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (number),3,SE,3,125
6338,r343,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),0,Percent,3,96.59
6338,r344,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),0,SE,3,0.25
6338,r345,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),1,Percent,3,2.53
6338,r346,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),1,SE,3,0.2
6338,r347,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),2,Percent,3,0.71
6338,r348,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),2,SE,3,0.15
6338,r349,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),3,Percent,3,0.17
6338,r350,Total -> Years since degree -> 21&#8211;30 years,Unemployment spells (%),3,SE,3,0.05
6338,r351,Total -> Years since degree -> > 30 years,All scientists and engineers,Number,,2,156600
6338,r352,Total -> Years since degree -> > 30 years,All scientists and engineers,SE,,2,1225
6338,r353,Total -> Years since degree -> > 30 years,Unemployment spells (number),0,Total,3,151150
6338,r354,Total -> Years since degree -> > 30 years,Unemployment spells (number),0,SE,3,1250
6338,r355,Total -> Years since degree -> > 30 years,Unemployment spells (number),1,Total,3,4300
6338,r356,Total -> Years since degree -> > 30 years,Unemployment spells (number),1,SE,3,400
6338,r357,Total -> Years since degree -> > 30 years,Unemployment spells (number),2,Total,3,800
6338,r358,Total -> Years since degree -> > 30 years,Unemployment spells (number),2,SE,3,175
6338,r359,Total -> Years since degree -> > 30 years,Unemployment spells (number),3,Total,3,350
6338,r360,Total -> Years since degree -> > 30 years,Unemployment spells (number),3,SE,3,125
6338,r361,Total -> Years since degree -> > 30 years,Unemployment spells (%),0,Percent,3,96.52
6338,r362,Total -> Years since degree -> > 30 years,Unemployment spells (%),0,SE,3,0.3
6338,r363,Total -> Years since degree -> > 30 years,Unemployment spells (%),1,Percent,3,2.75
6338,r364,Total -> Years since degree -> > 30 years,Unemployment spells (%),1,SE,3,0.25
6338,r365,Total -> Years since degree -> > 30 years,Unemployment spells (%),2,Percent,3,0.52
6338,r366,Total -> Years since degree -> > 30 years,Unemployment spells (%),2,SE,3,0.15
6338,r367,Total -> Years since degree -> > 30 years,Unemployment spells (%),3,Percent,3,0.22
6338,r368,Total -> Years since degree -> > 30 years,Unemployment spells (%),3,SE,3,0.1
6338,r369,Total -> Residence location in 2015 -> U.S. residing,All scientists and engineers,Number,,2,742750
6338,r370,Total -> Residence location in 2015 -> U.S. residing,All scientists and engineers,SE,,2,1850
6338,r371,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),0,Total,3,715800
6338,r372,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),0,SE,3,2000
6338,r373,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),1,Total,3,21750
6338,r374,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),1,SE,3,850
6338,r375,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),2,Total,3,4050
6338,r376,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),2,SE,3,425
6338,r377,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),3,Total,3,1150
6338,r378,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (number),3,SE,3,200
6338,r379,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),0,Percent,3,96.37
6338,r380,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),0,SE,3,0.15
6338,r381,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),1,Percent,3,2.93
6338,r382,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),1,SE,3,0.15
6338,r383,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),2,Percent,3,0.55
6338,r384,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),2,SE,3,0.1
6338,r385,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),3,Percent,3,0.15
6338,r386,Total -> Residence location in 2015 -> U.S. residing,Unemployment spells (%),3,SE,3,0.05
6338,r387,Total -> Residence location in 2015 -> Non-U.S. residing,All scientists and engineers,Number,,2,113300
6338,r388,Total -> Residence location in 2015 -> Non-U.S. residing,All scientists and engineers,SE,,2,1250
6338,r389,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),0,Total,3,109850
6338,r390,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),0,SE,3,1250
6338,r391,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),1,Total,3,2650
6338,r392,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),1,SE,3,300
6338,r393,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),2,Total,3,550
6338,r394,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),2,SE,3,100
6338,r395,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),3,Total,3,200
6338,r396,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (number),3,SE,3,75
6338,r397,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),0,Percent,3,96.97
6338,r398,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),0,SE,3,0.3
6338,r399,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),1,Percent,3,2.36
6338,r400,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),1,SE,3,0.3
6338,r401,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),2,Percent,3,0.49
6338,r402,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),2,SE,3,0.1
6338,r403,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),3,Percent,3,0.18
6338,r404,Total -> Residence location in 2015 -> Non-U.S. residing,Unemployment spells (%),3,SE,3,0.1
6338,r405,Total -> Disability status in 2015 -> With disability,All scientists and engineers,Number,,2,71700
6338,r406,Total -> Disability status in 2015 -> With disability,All scientists and engineers,SE,,2,1250
6338,r407,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),0,Total,3,68100
6338,r408,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),0,SE,3,1225
6338,r409,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),1,Total,3,2400
6338,r410,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),1,SE,3,275
6338,r411,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),2,Total,3,950
6338,r412,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),2,SE,3,200
6338,r413,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),3,Total,3,200
6338,r414,Total -> Disability status in 2015 -> With disability,Unemployment spells (number),3,SE,3,75
6338,r415,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),0,Percent,3,94.97
6338,r416,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),0,SE,3,0.5
6338,r417,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),1,Percent,3,3.37
6338,r418,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),1,SE,3,0.4
6338,r419,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),2,Percent,3,1.35
6338,r420,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),2,SE,3,0.25
6338,r421,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),3,Percent,3,0.31
6338,r422,Total -> Disability status in 2015 -> With disability,Unemployment spells (%),3,SE,3,0.1
6338,r423,Total -> Disability status in 2015 -> Without disability,All scientists and engineers,Number,,2,784350
6338,r424,Total -> Disability status in 2015 -> Without disability,All scientists and engineers,SE,,2,1950
6338,r425,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),0,Total,3,757550
6338,r426,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),0,SE,3,2225
6338,r427,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),1,Total,3,22050
6338,r428,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),1,SE,3,850
6338,r429,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),2,Total,3,3650
6338,r430,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),2,SE,3,375
6338,r431,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),3,Total,3,1150
6338,r432,Total -> Disability status in 2015 -> Without disability,Unemployment spells (number),3,SE,3,200
6338,r433,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),0,Percent,3,96.58
6338,r434,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),0,SE,3,0.15
6338,r435,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),1,Percent,3,2.81
6338,r436,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),1,SE,3,0.15
6338,r437,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),2,Percent,3,0.46
6338,r438,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),2,SE,3,0.05
6338,r439,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),3,Percent,3,0.14
6338,r440,Total -> Disability status in 2015 -> Without disability,Unemployment spells (%),3,SE,3,0.05
6338,r441,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,All scientists and engineers,Number,,2,598950
6338,r442,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,All scientists and engineers,SE,,2,2075
6338,r443,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),0,Total,3,578050
6338,r444,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),0,SE,3,2075
6338,r445,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),1,Total,3,16850
6338,r446,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),1,SE,3,750
6338,r447,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),2,Total,3,3250
6338,r448,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),2,SE,3,350
6338,r449,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),3,Total,3,850
6338,r450,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (number),3,SE,3,150
6338,r451,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),0,Percent,3,96.51
6338,r452,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),0,SE,3,0.15
6338,r453,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),1,Percent,3,2.81
6338,r454,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),1,SE,3,0.15
6338,r455,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),2,Percent,3,0.54
6338,r456,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),2,SE,3,0.1
6338,r457,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),3,Percent,3,0.14
6338,r458,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Unemployment spells (%),3,SE,3,0.05
6338,r459,Total -> Citizenship at graduation -> Temporary visa holder,All scientists and engineers,Number,,2,257100
6338,r460,Total -> Citizenship at graduation -> Temporary visa holder,All scientists and engineers,SE,,2,1600
6338,r461,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),0,Total,3,247600
6338,r462,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),0,SE,3,1675
6338,r463,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),1,Total,3,7600
6338,r464,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),1,SE,3,475
6338,r465,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),2,Total,3,1350
6338,r466,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),2,SE,3,225
6338,r467,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),3,Total,3,550
6338,r468,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (number),3,SE,3,125
6338,r469,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),0,Percent,3,96.31
6338,r470,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),0,SE,3,0.25
6338,r471,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),1,Percent,3,2.95
6338,r472,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),1,SE,3,0.2
6338,r473,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),2,Percent,3,0.53
6338,r474,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),2,SE,3,0.1
6338,r475,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),3,Percent,3,0.21
6338,r476,Total -> Citizenship at graduation -> Temporary visa holder,Unemployment spells (%),3,SE,3,0.05
