table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_employed_total,field_employed_s_e_occupations,field_employed_s_e_related_occupations,field_employed_non_s_e_occupations,field_unemployeda,field_not_in_labor_forceb
7761,r146,All degrees -> Doctorate -> S&E fields -> Engineering -> Industrial engineering,All degrees,Doctorate,S&E fields,Engineering,Industrial engineering,5,13000,11000,5000,S,4000,,2000
7761,r147,All degrees -> Doctorate -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Doctorate,S&E fields,Engineering,Mechanical engineering,5,33000,29000,21000,2000,6000,0.05,4000
7761,r148,All degrees -> Doctorate -> S&E fields -> Engineering -> Other engineering,All degrees,Doctorate,S&E fields,Engineering,Other engineering,5,87000,75000,51000,9000,16000,3000,9000
7761,r149,All degrees -> Doctorate -> S&E-related fields,All degrees,Doctorate,S&E-related fields,,,3,355000,304000,51000,192000,61000,11000,39000
7761,r150,All degrees -> Doctorate -> S&E-related fields -> Health,All degrees,Doctorate,S&E-related fields,Health,,4,312000,275000,40000,189000,46000,S,29000
7761,r151,All degrees -> Doctorate -> S&E-related fields -> Science and mathematics teacher education,All degrees,Doctorate,S&E-related fields,Science and mathematics teacher education,,4,24000,14000,5000,1000,8000,,8000
7761,r152,All degrees -> Doctorate -> S&E-related fields -> Technology and technical fields,All degrees,Doctorate,S&E-related fields,Technology and technical fields,,4,12000,9000,5000,2000,S,,S
7761,r153,All degrees -> Doctorate -> S&E-related fields -> Other S&E-related fields,All degrees,Doctorate,S&E-related fields,Other S&E-related fields,,4,7000,7000,2000,,4000,,
7761,r154,All degrees -> Doctorate -> Non-S&E fields,All degrees,Doctorate,Non-S&E fields,,,3,707000,534000,50000,25000,459000,24000,148000
7761,r155,All degrees -> Doctorate -> Non-S&E fields -> Management and administration fields,All degrees,Doctorate,Non-S&E fields,Management and administration fields,,4,71000,56000,6000,,48000,6000,10000
7761,r156,"All degrees -> Doctorate -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Doctorate,Non-S&E fields,"Education, except science and math teacher education",,4,239000,171000,9000,17000,145000,S,63000
7761,r157,All degrees -> Doctorate -> Non-S&E fields -> Social service and related fields,All degrees,Doctorate,Non-S&E fields,Social service and related fields,,4,122000,83000,13000,S,68000,10000,29000
7761,r158,All degrees -> Doctorate -> Non-S&E fields -> Sales and marketing fields,All degrees,Doctorate,Non-S&E fields,Sales and marketing fields,,4,6000,4000,,,4000,,
7761,r159,All degrees -> Doctorate -> Non-S&E fields -> Art and humanities fields,All degrees,Doctorate,Non-S&E fields,Art and humanities fields,,4,193000,160000,5000,1000,155000,,32000
7761,r160,All degrees -> Doctorate -> Non-S&E fields -> Other non-S&E fields,All degrees,Doctorate,Non-S&E fields,Other non-S&E fields,,4,75000,60000,18000,S,38000,,14000
7761,r161,All degrees -> Professional,All degrees,Professional,,,,2,3784000,3246000,82000,1538000,1626000,63000,474000
7761,r162,All degrees -> Professional -> S&E fields,All degrees,Professional,S&E fields,,,3,58000,49000,28000,S,16000,,9000
7761,r163,All degrees -> Professional -> S&E-related fields,All degrees,Professional,S&E-related fields,,,3,1825000,1616000,29000,1506000,82000,26000,183000
7761,r164,All degrees -> Professional -> Non-S&E fields,All degrees,Professional,Non-S&E fields,,,3,1900000,1582000,25000,28000,1528000,37000,282000
